tipo_celular,module_size,PUM2_MM,PUM2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.12,25.0,97,4,4.12,3.68 (0.91-6.46),93,95.88,3.04 (2.64-3.44)
T cells 18,388,0.125,35.0,84,6,7.14,2.73 (2.15-3.31),78,92.86,2.99 (2.64-3.34)
astrocytes 5,1141,0.171,92.0,166,45,27.11,2.81 (2.35-3.27),121,72.89,3.67 (3.38-3.95)
oligodendrocyte progenitor cells 7,448,0.194,78.0,108,1,0.93,NA,107,99.07,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,823,0.17,45.0,23,2,8.7,2.03 (0.03-4.04),21,91.3,2.44 (1.65-3.24)
GLU like neurons 17,637,0.092,18.0,91,11,12.09,1.13 (0.42-1.84),80,87.91,5.13 (4.69-5.58)
da like neurons 11,61,0.383,70.0,3,0,0.0,NA,3,100.0,3.69 (NA-NA)
GABA neurons expressing GABA receptors 13,200,0.16,55.0,34,2,5.88,3.54 (3.28-3.81),32,94.12,3.92 (2.96-4.88)
endothelial cells 9,1653,0.207,92.0,297,9,3.03,4.23 (3.37-5.08),288,96.97,3.65 (3.45-3.86)
oligodendrocytes 20,298,0.108,39.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,3052,0.104,20.0,125,1,0.8,5.57 (NA-NA),124,99.2,3.33 (3.01-3.65)
astrocytes 8,771,0.065,22.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,103,0.497,74.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31)
oligodendrocytes 10,2107,0.349,95.0,358,79,22.07,2.80 (2.40-3.19),279,77.93,4.28 (4.09-4.47)
connective tissue cells 21,106,0.278,58.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,1768,0.111,71.0,105,29,27.62,2.63 (1.98-3.28),76,72.38,3.44 (3.06-3.82)
oligodendrocytes 16,74,0.164,36.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,398,0.159,53.0,138,25,18.12,2.79 (2.17-3.41),113,81.88,5.35 (4.98-5.72)
astrocytes microglia 23,253,0.316,86.0,47,10,21.28,2.58 (1.89-3.27),37,78.72,2.91 (2.53-3.28)
astrocytes 4,752,0.162,63.0,96,18,18.75,3.03 (2.52-3.54),78,81.25,3.37 (2.97-3.77)
oligodendrocytes 0,1186,0.19,97.0,300,15,5.0,3.64 (3.26-4.02),285,95.0,3.80 (3.59-4.02)
microglia 1,1615,0.109,49.0,161,45,27.95,2.04 (1.69-2.38),116,72.05,3.91 (3.62-4.20)
oligodendrocytes 3,1003,0.133,78.0,111,13,11.71,5.20 (4.63-5.77),98,88.29,3.02 (2.68-3.37)
oligodendrocytes 2,921,0.146,65.0,200,24,12.0,4.49 (3.79-5.19),176,88.0,3.51 (3.23-3.79)
