tipo_celular,module_size,AP2M1_MM,AP2M1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.114,23.0,140,8,5.71,3.82 (2.51-5.13),132,94.29,4.57 (4.13-5.02)
T cells 18,506,0.197,55.0,225,27,12.0,3.47 (2.82-4.13),198,88.0,3.63 (3.36-3.90)
astrocytes 5,228,0.195,60.0,266,53,19.92,3.11 (2.68-3.54),213,80.08,4.44 (4.22-4.65)
oligodendrocyte progenitor cells 7,296,0.257,79.0,251,9,3.59,5.12 (4.24-5.99),242,96.41,4.03 (3.78-4.27)
GABA neurons expressing GLU receptors 22,848,0.254,66.0,262,43,16.41,3.83 (3.33-4.32),219,83.59,4.24 (3.96-4.53)
GLU like neurons 17,1316,0.176,87.0,101,3,2.97,3.17 (2.85-3.49),98,97.03,3.05 (2.68-3.41)
da like neurons 11,1220,0.383,91.0,410,45,10.98,3.59 (3.18-4.00),365,89.02,4.35 (4.15-4.55)
GABA neurons expressing GABA receptors 13,417,0.151,44.0,213,31,14.55,2.45 (1.85-3.05),182,85.45,4.02 (3.77-4.26)
endothelial cells 9,916,0.212,52.0,302,10,3.31,2.52 (1.59-3.45),292,96.69,4.04 (3.81-4.27)
oligodendrocytes 20,330,0.082,16.0,36,0,0.0,NA,36,100.0,1.92 (1.57-2.27)
GABA like neurons 14,2402,0.605,96.0,455,56,12.31,3.42 (2.98-3.85),399,87.69,4.51 (4.31-4.71)
astrocytes 8,520,0.25,79.0,288,61,21.18,3.96 (3.55-4.36),227,78.82,4.24 (4.01-4.47)
oligodendrocyte progenitor cells 12,3303,0.088,62.0,276,25,9.06,3.29 (2.61-3.98),251,90.94,3.58 (3.35-3.80)
oligodendrocytes 10,806,0.34,85.0,261,36,13.79,3.77 (3.28-4.27),225,86.21,4.48 (4.21-4.75)
connective tissue cells 21,118,0.382,84.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,367,0.05,11.0,17,3,17.65,5.03 (2.96-7.10),14,82.35,1.40 (0.72-2.08)
oligodendrocytes 16,313,0.214,48.0,291,41,14.09,3.75 (3.30-4.20),250,85.91,4.45 (4.20-4.71)
da neurons 6,729,0.14,43.0,182,2,1.1,2.87 (2.83-2.90),180,98.9,3.65 (3.39-3.90)
astrocytes microglia 23,161,0.314,48.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,157,0.167,40.0,178,33,18.54,2.82 (2.27-3.37),145,81.46,4.51 (4.24-4.79)
oligodendrocytes 0,546,0.13,27.0,252,39,15.48,3.06 (2.46-3.67),213,84.52,4.32 (4.06-4.58)
microglia 1,214,0.234,67.0,227,21,9.25,4.06 (3.48-4.63),206,90.75,4.09 (3.84-4.35)
oligodendrocytes 3,457,0.187,77.0,345,62,17.97,3.89 (3.54-4.25),283,82.03,4.38 (4.13-4.62)
oligodendrocytes 2,526,0.206,31.0,213,1,0.47,6.09 (NA-NA),212,99.53,3.97 (3.69-4.24)
