tipo_celular,module_size,TLN2_MM,TLN2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351.0,0.137,36.0,71,2,2.82,0.97 (-0.53-2.48),69,97.18,2.68 (2.26-3.09)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.113,16.0,32,1,3.12,NA,31,96.88,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,436.0,0.083,18.0,219,7,3.2,5.59 (4.62-6.56),212,96.8,5.20 (4.90-5.49)
GABA neurons expressing GLU receptors 22,823.0,0.158,36.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,489.0,0.157,60.0,42,3,7.14,5.52 (3.95-7.09),39,92.86,6.04 (5.44-6.65)
da like neurons 11,204.0,0.344,95.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,357.0,0.119,26.0,237,2,0.84,4.19 (2.28-6.10),235,99.16,4.41 (4.18-4.64)
endothelial cells 9,450.0,0.19,45.0,74,2,2.7,3.52 (0.04-7.00),72,97.3,5.55 (4.99-6.10)
oligodendrocytes 20,271.0,0.127,25.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,1300.0,0.318,92.0,306,19,6.21,3.73 (2.76-4.70),287,93.79,5.21 (4.95-5.48)
astrocytes 8,1266.0,0.118,76.0,66,8,12.12,1.49 (0.58-2.40),58,87.88,3.51 (3.09-3.93)
oligodendrocyte progenitor cells 12,143.0,0.472,84.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,1277.0,0.104,48.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,183.0,0.365,78.0,32,0,0.0,NA,32,100.0,5.12 (4.48-5.76)
astrocytes 15,1401.0,0.119,76.0,96,10,10.42,3.88 (2.40-5.36),86,89.58,3.59 (3.11-4.06)
oligodendrocytes 16,199.0,0.227,84.0,3,0,0.0,NA,3,100.0,5.28 (1.90-8.66)
da neurons 6,300.0,0.172,55.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,229.0,0.174,8.0,99,0,0.0,NA,99,100.0,4.30 (3.96-4.63)
astrocytes 4,514.0,0.077,1.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,117.0,0.16,54.0,4,2,50.0,6.69 (5.73-7.65),2,50.0,5.16 (5.16-5.16)
microglia 1,315.0,0.169,48.0,144,1,0.69,6.20 (NA-NA),143,99.31,4.45 (4.14-4.75)
oligodendrocytes 3,242.0,0.225,82.0,6,1,16.67,6.20 (NA-NA),5,83.33,5.94 (4.78-7.11)
oligodendrocytes 2,347.0,0.29,84.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
