tipo_celular,module_size,RPL30_MM,RPL30_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.306,61.0,98,34,34.69,2.95 (2.25-3.65),64,65.31,3.35 (2.73-3.97)
T cells 18,506,0.45,91.0,225,40,17.78,3.07 (2.50-3.64),185,82.22,3.73 (3.46-4.01)
astrocytes 5,328,0.326,89.0,128,10,7.81,3.70 (3.13-4.26),118,92.19,3.56 (3.18-3.93)
oligodendrocyte progenitor cells 7,448,0.385,96.0,108,9,8.33,3.57 (3.00-4.15),99,91.67,3.22 (2.74-3.70)
GABA neurons expressing GLU receptors 22,400,0.36,94.0,24,9,37.5,1.04 (0.34-1.73),15,62.5,2.83 (2.39-3.26)
GLU like neurons 17,685,0.113,37.0,135,32,23.7,2.21 (1.73-2.69),103,76.3,3.46 (3.12-3.81)
da like neurons 11,1220,0.127,28.0,410,23,5.61,3.06 (2.46-3.65),387,94.39,4.32 (4.12-4.51)
GABA neurons expressing GABA receptors 13,417,0.104,10.0,213,37,17.37,2.26 (1.70-2.81),176,82.63,4.10 (3.86-4.34)
endothelial cells 9,916,0.557,97.0,302,15,4.97,3.31 (2.51-4.10),287,95.03,4.02 (3.79-4.25)
oligodendrocytes 20,403,0.125,51.0,18,10,55.56,0.98 (0.46-1.49),8,44.44,3.01 (2.09-3.92)
GABA like neurons 14,2402,0.38,77.0,455,37,8.13,2.05 (1.54-2.56),418,91.87,4.57 (4.39-4.75)
astrocytes 8,603,0.183,88.0,89,19,21.35,2.52 (1.89-3.16),70,78.65,2.85 (2.43-3.27)
oligodendrocyte progenitor cells 12,1049,0.509,99.0,235,18,7.66,3.36 (2.83-3.89),217,92.34,3.86 (3.61-4.10)
oligodendrocytes 10,483,0.315,84.0,129,18,13.95,4.10 (3.33-4.87),111,86.05,3.34 (2.91-3.77)
connective tissue cells 21,301,0.44,67.0,158,16,10.13,2.70 (2.04-3.36),142,89.87,4.51 (4.12-4.90)
astrocytes 15,1768,0.047,11.0,105,15,14.29,1.31 (0.95-1.67),90,85.71,3.56 (3.22-3.90)
oligodendrocytes 16,105,0.291,84.0,12,0,0.0,NA,12,100.0,2.24 (1.48-3.00)
da neurons 6,729,0.173,61.0,182,21,11.54,2.99 (2.09-3.88),161,88.46,3.71 (3.45-3.97)
astrocytes microglia 23,137,0.409,67.0,188,37,19.68,2.79 (2.16-3.43),151,80.32,4.85 (4.50-5.20)
astrocytes 4,208,0.167,33.0,173,12,6.94,3.43 (2.84-4.01),161,93.06,3.83 (3.51-4.15)
oligodendrocytes 0,546,0.278,86.0,252,44,17.46,2.49 (1.88-3.10),208,82.54,4.44 (4.20-4.68)
microglia 1,406,0.508,89.0,278,13,4.68,3.62 (3.08-4.17),265,95.32,4.39 (4.11-4.68)
oligodendrocytes 3,303,0.265,91.0,154,14,9.09,3.93 (3.25-4.62),140,90.91,3.59 (3.25-3.93)
oligodendrocytes 2,526,0.343,74.0,213,8,3.76,3.69 (3.08-4.30),205,96.24,3.99 (3.71-4.28)
