tipo_celular,module_size,DDX5_MM,DDX5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.224,48.0,140,15,10.71,3.00 (2.45-3.54),125,89.29,4.77 (4.48-5.06)
T cells 18,506,0.282,75.0,225,32,14.22,2.66 (2.17-3.16),193,85.78,3.79 (3.52-4.06)
astrocytes 5,1656,0.247,100.0,136,11,8.09,2.52 (1.67-3.37),125,91.91,3.28 (2.99-3.56)
oligodendrocyte progenitor cells 7,628,0.288,89.0,164,4,2.44,3.67 (2.04-5.30),160,97.56,4.10 (3.76-4.43)
GABA neurons expressing GLU receptors 22,848,0.271,69.0,262,21,8.02,2.50 (1.62-3.38),241,91.98,4.28 (4.03-4.53)
GLU like neurons 17,685,0.233,83.0,135,48,35.56,2.47 (2.11-2.83),87,64.44,3.64 (3.23-4.05)
da like neurons 11,168,0.169,69.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,73,0.17,55.0,16,5,31.25,3.51 (2.93-4.09),11,68.75,1.75 (0.59-2.92)
endothelial cells 9,385,0.19,89.0,275,102,37.09,2.90 (2.56-3.25),173,62.91,4.82 (4.52-5.11)
oligodendrocytes 20,676,0.234,46.0,110,8,7.27,1.80 (1.08-2.52),102,92.73,5.31 (4.89-5.73)
GABA like neurons 14,3052,0.238,99.0,125,3,2.4,4.59 (3.05-6.13),122,97.6,3.31 (2.99-3.64)
astrocytes 8,603,0.106,68.0,89,12,13.48,1.62 (1.19-2.05),77,86.52,2.99 (2.61-3.38)
oligodendrocyte progenitor cells 12,708,0.22,77.0,32,9,28.12,1.36 (0.44-2.29),23,71.88,4.00 (3.12-4.88)
oligodendrocytes 10,130,0.307,29.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,147,0.135,7.0,4,1,25.0,5.06 (NA-NA),3,75.0,5.43 (4.83-6.04)
astrocytes 15,268,0.173,73.0,10,3,30.0,3.92 (0.95-6.89),7,70.0,3.55 (1.24-5.86)
oligodendrocytes 16,153,0.293,31.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,518,0.142,78.0,122,23,18.85,2.18 (1.42-2.94),99,81.15,4.36 (3.96-4.76)
astrocytes microglia 23,42,0.224,5.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,255,0.213,73.0,12,2,16.67,5.51 (NA-NA),10,83.33,4.44 (3.48-5.41)
oligodendrocytes 0,546,0.135,29.0,252,35,13.89,2.24 (1.59-2.88),217,86.11,4.44 (4.20-4.67)
microglia 1,406,0.118,25.0,278,5,1.8,5.16 (4.30-6.02),273,98.2,4.34 (4.06-4.62)
oligodendrocytes 3,116,0.27,48.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96)
oligodendrocytes 2,528,0.173,31.0,175,14,8.0,3.35 (2.47-4.23),161,92.0,4.47 (4.10-4.83)
