tipo_celular,module_size,TTC19_MM,TTC19_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.148,44.0,71,4,5.63,1.85 (0.62-3.08),67,94.37,2.68 (2.25-3.11)
T cells 18,477,0.204,75.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,423,0.158,55.0,80,0,0.0,NA,80,100.0,3.40 (2.93-3.88)
oligodendrocyte progenitor cells 7,4285,0.133,47.0,353,24,6.8,1.67 (1.19-2.14),329,93.2,4.08 (3.90-4.26)
GABA neurons expressing GLU receptors 22,400,0.184,42.0,24,12,50.0,1.30 (0.82-1.79),12,50.0,3.01 (2.42-3.59)
GLU like neurons 17,1316,0.073,9.0,101,3,2.97,2.63 (2.13-3.14),98,97.03,3.07 (2.71-3.43)
da like neurons 11,168,0.102,35.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,65,0.092,7.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,412,0.148,37.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,348,0.213,77.0,33,0,0.0,NA,33,100.0,2.73 (2.25-3.22)
GABA like neurons 14,3052,0.124,37.0,125,3,2.4,4.56 (NA-NA),122,97.6,3.34 (3.02-3.67)
astrocytes 8,577,0.141,78.0,83,0,0.0,NA,83,100.0,3.25 (2.80-3.70)
oligodendrocyte progenitor cells 12,3303,0.074,44.0,276,11,3.99,2.21 (1.47-2.95),265,96.01,3.60 (3.38-3.82)
oligodendrocytes 10,735,0.071,30.0,277,1,0.36,4.26 (NA-NA),276,99.64,3.89 (3.65-4.13)
connective tissue cells 21,136,0.194,6.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,443,0.115,22.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,84,0.123,9.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50)
da neurons 6,228,0.097,51.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,67,0.29,35.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,514,0.197,58.0,95,0,0.0,NA,95,100.0,3.37 (2.95-3.79)
oligodendrocytes 0,1186,0.128,26.0,300,6,2.0,3.17 (2.93-3.42),294,98.0,3.81 (3.60-4.01)
microglia 1,813,0.107,38.0,79,1,1.27,1.74 (NA-NA),78,98.73,3.12 (2.71-3.53)
oligodendrocytes 3,681,0.091,46.0,87,6,6.9,1.12 (0.60-1.64),81,93.1,2.70 (2.43-2.98)
oligodendrocytes 2,921,0.138,50.0,200,6,3.0,2.85 (2.25-3.45),194,97.0,3.65 (3.37-3.92)
