tipo_celular,module_size,SCOC_MM,SCOC_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.249,74.0,140,3,2.14,3.18 (3.18-3.18),137,97.86,4.54 (4.11-4.97)
T cells 18,282,0.221,72.0,241,3,1.24,5.59 (1.69-9.50),238,98.76,4.04 (3.79-4.29)
astrocytes 5,228,0.269,82.0,266,18,6.77,3.07 (1.97-4.16),248,93.23,4.21 (4.01-4.41)
oligodendrocyte progenitor cells 7,296,0.294,86.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,487,0.262,67.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,1316,0.08,12.0,101,5,4.95,5.46 (4.08-6.83),96,95.05,2.93 (2.59-3.27)
da like neurons 11,1220,0.418,94.0,410,13,3.17,4.06 (2.92-5.20),397,96.83,4.26 (4.07-4.44)
GABA neurons expressing GABA receptors 13,238,0.125,25.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,338,0.262,82.0,191,8,4.19,5.40 (3.95-6.85),183,95.81,3.82 (3.60-4.04)
oligodendrocytes 20,938,0.21,83.0,169,8,4.73,2.41 (1.50-3.31),161,95.27,3.55 (3.32-3.77)
GABA like neurons 14,2402,0.589,95.0,455,27,5.93,2.76 (1.97-3.56),428,94.07,4.48 (4.29-4.66)
astrocytes 8,520,0.345,91.0,288,18,6.25,4.12 (3.28-4.95),270,93.75,4.18 (3.97-4.38)
oligodendrocyte progenitor cells 12,1049,0.063,28.0,235,3,1.28,3.18 (3.18-3.18),232,98.72,3.83 (3.60-4.07)
oligodendrocytes 10,806,0.411,91.0,261,5,1.92,3.08 (2.64-3.52),256,98.08,4.40 (4.15-4.64)
connective tissue cells 21,139,0.287,48.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,208,0.048,27.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,313,0.245,60.0,291,13,4.47,4.12 (2.97-5.27),278,95.53,4.34 (4.11-4.57)
da neurons 6,553,0.126,49.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,96,0.353,70.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03)
astrocytes 4,157,0.24,68.0,178,16,8.99,3.23 (1.98-4.48),162,91.01,4.26 (4.00-4.52)
oligodendrocytes 0,116,0.17,53.0,169,1,0.59,6.49 (NA-NA),168,99.41,4.26 (3.96-4.56)
microglia 1,214,0.307,81.0,227,2,0.88,3.18 (NA-NA),225,99.12,4.10 (3.86-4.33)
oligodendrocytes 3,457,0.234,88.0,345,11,3.19,4.41 (3.25-5.58),334,96.81,4.27 (4.06-4.48)
oligodendrocytes 2,528,0.309,86.0,175,8,4.57,2.96 (2.51-3.42),167,95.43,4.48 (4.12-4.85)
