tipo_celular,module_size,PGAM1_MM,PGAM1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.263,77.0,140,46,32.86,5.13 (4.54-5.72),94,67.14,4.21 (3.67-4.75)
T cells 18,282,0.292,87.0,241,48,19.92,4.88 (4.32-5.44),193,80.08,3.90 (3.62-4.17)
astrocytes 5,228,0.264,81.0,266,42,15.79,3.04 (2.54-3.53),224,84.21,4.30 (4.08-4.52)
oligodendrocyte progenitor cells 7,296,0.355,94.0,251,36,14.34,4.21 (3.81-4.62),215,85.66,4.05 (3.79-4.31)
GABA neurons expressing GLU receptors 22,848,0.545,100.0,262,30,11.45,3.02 (2.39-3.66),232,88.55,4.28 (4.02-4.54)
GLU like neurons 17,1316,0.233,98.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,1220,0.507,97.0,410,40,9.76,3.58 (3.30-3.86),370,90.24,4.31 (4.11-4.52)
GABA neurons expressing GABA receptors 13,265,0.107,15.0,78,4,5.13,3.18 (3.18-3.18),74,94.87,4.40 (3.97-4.82)
endothelial cells 9,338,0.281,86.0,191,3,1.57,3.36 (3.01-3.71),188,98.43,3.90 (3.67-4.12)
oligodendrocytes 20,298,0.129,46.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,2402,0.659,97.0,455,49,10.77,2.81 (2.35-3.28),406,89.23,4.54 (4.35-4.73)
astrocytes 8,520,0.385,94.0,288,41,14.24,3.53 (3.18-3.88),247,85.76,4.26 (4.04-4.48)
oligodendrocyte progenitor cells 12,3303,0.058,24.0,276,22,7.97,2.29 (1.76-2.82),254,92.03,3.69 (3.46-3.91)
oligodendrocytes 10,806,0.457,94.0,261,20,7.66,3.42 (2.96-3.89),241,92.34,4.43 (4.18-4.69)
connective tissue cells 21,101,0.34,59.0,116,15,12.93,3.47 (2.79-4.15),101,87.07,4.79 (4.33-5.24)
astrocytes 15,1768,0.113,74.0,105,13,12.38,1.95 (1.30-2.61),92,87.62,3.41 (3.05-3.76)
oligodendrocytes 16,313,0.466,92.0,291,21,7.22,3.60 (2.81-4.39),270,92.78,4.37 (4.14-4.60)
da neurons 6,409,0.185,75.0,235,43,18.3,4.19 (3.68-4.70),192,81.7,3.92 (3.63-4.20)
astrocytes microglia 23,161,0.327,53.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,157,0.24,68.0,178,35,19.66,3.15 (2.66-3.63),143,80.34,4.44 (4.14-4.73)
oligodendrocytes 0,116,0.185,59.0,169,5,2.96,4.65 (2.84-6.45),164,97.04,4.27 (3.96-4.57)
microglia 1,214,0.331,86.0,227,34,14.98,3.87 (3.51-4.22),193,85.02,4.13 (3.86-4.39)
oligodendrocytes 3,457,0.301,92.0,345,23,6.67,3.14 (2.56-3.72),322,93.33,4.32 (4.10-4.53)
oligodendrocytes 2,99,0.292,63.0,116,6,5.17,3.53 (3.39-3.67),110,94.83,3.98 (3.66-4.29)
