tipo_celular,module_size,RTN3_MM,RTN3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.248,73.0,140,10,7.14,6.49 (5.39-7.59),130,92.86,4.28 (3.85-4.70)
T cells 18,282,0.333,91.0,241,2,0.83,2.92 (1.57-4.26),239,99.17,4.07 (3.82-4.32)
astrocytes 5,228,0.278,84.0,266,24,9.02,2.90 (2.13-3.66),242,90.98,4.27 (4.07-4.48)
oligodendrocyte progenitor cells 7,296,0.243,75.0,251,0,0.0,NA,251,100.0,4.07 (3.83-4.30)
GABA neurons expressing GLU receptors 22,848,0.24,61.0,262,31,11.83,3.58 (3.01-4.16),231,88.17,4.26 (3.99-4.53)
GLU like neurons 17,1247,0.158,67.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,1220,0.318,84.0,410,16,3.9,3.28 (2.71-3.84),394,96.1,4.30 (4.11-4.50)
GABA neurons expressing GABA receptors 13,357,0.239,78.0,237,9,3.8,6.40 (5.05-7.76),228,96.2,4.30 (4.08-4.53)
endothelial cells 9,338,0.422,96.0,191,2,1.05,3.14 (1.36-4.92),189,98.95,3.89 (3.67-4.12)
oligodendrocytes 20,322,0.048,14.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2402,0.279,62.0,455,26,5.71,2.33 (1.73-2.92),429,94.29,4.52 (4.33-4.70)
astrocytes 8,520,0.388,94.0,288,21,7.29,3.41 (2.78-4.03),267,92.71,4.24 (4.04-4.45)
oligodendrocyte progenitor cells 12,153,0.41,50.0,27,9,33.33,4.86 (2.65-7.07),18,66.67,4.70 (3.68-5.71)
oligodendrocytes 10,806,0.62,99.0,261,25,9.58,4.52 (3.78-5.26),236,90.42,4.34 (4.09-4.60)
connective tissue cells 21,101,0.282,38.0,116,19,16.38,5.63 (4.46-6.79),97,83.62,4.34 (3.93-4.74)
astrocytes 15,268,0.07,40.0,10,1,10.0,1.92 (NA-NA),9,90.0,3.94 (2.07-5.81)
oligodendrocytes 16,313,0.339,79.0,291,11,3.78,4.56 (2.94-6.18),280,96.22,4.31 (4.09-4.53)
da neurons 6,300,0.355,94.0,159,1,0.63,NA,158,99.37,4.36 (4.06-4.67)
astrocytes microglia 23,70,0.187,9.0,76,0,0.0,NA,76,100.0,4.20 (3.69-4.72)
astrocytes 4,157,0.241,69.0,178,17,9.55,2.60 (1.69-3.51),161,90.45,4.36 (4.10-4.62)
oligodendrocytes 0,546,0.214,71.0,252,29,11.51,2.59 (1.83-3.35),223,88.49,4.33 (4.08-4.57)
microglia 1,214,0.322,85.0,227,13,5.73,4.92 (3.82-6.03),214,94.27,4.03 (3.79-4.27)
oligodendrocytes 3,127,0.39,81.0,45,13,28.89,3.86 (3.04-4.69),32,71.11,4.77 (3.28-6.25)
oligodendrocytes 2,528,0.364,91.0,175,13,7.43,4.29 (3.32-5.27),162,92.57,4.39 (4.01-4.76)
