tipo_celular,module_size,ARHGEF7_MM,ARHGEF7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.107,14.0,102,18,17.65,2.75 (2.04-3.45),84,82.35,3.65 (3.24-4.05)
T cells 18,477,0.238,86.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1141,0.119,31.0,166,15,9.04,2.91 (2.00-3.81),151,90.96,3.44 (3.18-3.70)
oligodendrocyte progenitor cells 7,448,0.113,29.0,108,1,0.93,3.55 (NA-NA),107,99.07,3.25 (2.81-3.70)
GABA neurons expressing GLU receptors 22,567,0.226,64.0,16,4,25.0,2.91 (1.29-4.54),12,75.0,1.72 (1.02-2.41)
GLU like neurons 17,1316,0.143,67.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,89,0.091,13.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
GABA neurons expressing GABA receptors 13,288,0.183,57.0,93,41,44.09,4.93 (4.23-5.62),52,55.91,5.37 (4.66-6.08)
endothelial cells 9,586,0.316,69.0,62,3,4.84,5.98 (NA-NA),59,95.16,4.01 (3.56-4.46)
oligodendrocytes 20,676,0.72,98.0,110,48,43.64,4.83 (4.21-5.46),62,56.36,5.18 (4.53-5.82)
GABA like neurons 14,1300,0.276,80.0,306,70,22.88,4.66 (4.12-5.20),236,77.12,5.26 (4.97-5.56)
astrocytes 8,218,0.216,85.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,138,0.362,11.0,5,3,60.0,4.33 (4.33-4.33),2,40.0,NA
oligodendrocytes 10,236,0.515,57.0,82,18,21.95,5.35 (4.49-6.21),64,78.05,4.88 (4.24-5.51)
connective tissue cells 21,101,0.183,8.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 15,1401,0.116,74.0,96,19,19.79,3.86 (3.10-4.62),77,80.21,3.54 (3.01-4.08)
oligodendrocytes 16,153,0.417,72.0,14,3,21.43,5.05 (3.68-6.41),11,78.57,4.56 (3.68-5.44)
da neurons 6,398,0.127,39.0,138,57,41.3,4.44 (3.90-4.98),81,58.7,5.15 (4.66-5.65)
astrocytes microglia 23,327,0.216,14.0,120,37,30.83,3.00 (2.46-3.55),83,69.17,3.91 (3.56-4.25)
astrocytes 4,514,0.166,39.0,95,5,5.26,1.16 (0.64-1.68),90,94.74,3.50 (3.07-3.92)
oligodendrocytes 0,261,0.195,58.0,42,21,50.0,2.98 (2.20-3.76),21,50.0,5.46 (4.70-6.21)
microglia 1,480,0.216,62.0,163,22,13.5,4.16 (3.58-4.74),141,86.5,3.65 (3.36-3.94)
oligodendrocytes 3,116,0.33,93.0,7,6,85.71,3.09 (0.52-5.67),1,14.29,6.20 (NA-NA)
oligodendrocytes 2,131,0.128,16.0,20,3,15.0,3.68 (1.21-6.15),17,85.0,4.70 (3.97-5.44)
