tipo_celular,module_size,KPNA4_MM,KPNA4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.18,35.0,21,14,66.67,1.71 (1.08-2.33),7,33.33,3.69 (2.96-4.41)
T cells 18,610,0.096,12.0,98,26,26.53,1.97 (1.47-2.47),72,73.47,3.60 (3.27-3.93)
astrocytes 5,1656,0.126,67.0,136,6,4.41,2.58 (1.15-4.01),130,95.59,3.24 (2.96-3.51)
oligodendrocyte progenitor cells 7,4285,0.173,95.0,353,49,13.88,2.43 (2.00-2.87),304,86.12,4.17 (3.98-4.36)
GABA neurons expressing GLU receptors 22,567,0.147,29.0,16,3,18.75,2.54 (1.95-3.14),13,81.25,1.82 (0.99-2.64)
GLU like neurons 17,300,0.135,12.0,16,6,37.5,2.38 (1.62-3.14),10,62.5,1.86 (0.45-3.27)
da like neurons 11,289,0.181,48.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,238,0.07,1.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,412,0.2,59.0,141,6,4.26,2.45 (1.26-3.65),135,95.74,2.99 (2.74-3.23)
oligodendrocytes 20,295,0.145,30.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052,0.189,88.0,125,2,1.6,4.52 (4.52-4.52),123,98.4,3.33 (3.00-3.66)
astrocytes 8,354,0.128,54.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,3303,0.08,52.0,276,39,14.13,2.61 (2.15-3.06),237,85.87,3.72 (3.48-3.95)
oligodendrocytes 10,483,0.067,20.0,129,0,0.0,NA,129,100.0,3.43 (3.04-3.82)
connective tissue cells 21,136,0.26,37.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,1768,0.081,45.0,105,25,23.81,2.34 (1.79-2.89),80,76.19,3.51 (3.13-3.90)
oligodendrocytes 16,151,0.109,1.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,553,0.079,11.0,124,2,1.61,1.26 (-0.42-2.94),122,98.39,4.25 (3.86-4.64)
astrocytes microglia 23,58,0.293,48.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.15,47.0,65,2,3.08,NA,63,96.92,2.96 (2.57-3.36)
oligodendrocytes 0,1186,0.136,35.0,300,2,0.67,3.61 (0.57-6.65),298,99.33,3.79 (3.59-4.00)
microglia 1,958,0.124,68.0,290,21,7.24,3.47 (2.89-4.06),269,92.76,3.84 (3.60-4.09)
oligodendrocytes 3,854,0.095,56.0,76,5,6.58,3.35 (1.29-5.42),71,93.42,2.74 (2.42-3.07)
oligodendrocytes 2,921,0.143,61.0,200,26,13.0,3.55 (3.00-4.09),174,87.0,3.63 (3.34-3.92)
