tipo_celular,module_size,USP8_MM,USP8_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.17,47.0,73,5,6.85,3.85 (3.44-4.27),68,93.15,3.54 (3.16-3.91)
T cells 18,610,0.175,68.0,98,32,32.65,2.30 (1.84-2.77),66,67.35,3.58 (3.22-3.95)
astrocytes 5,932,0.105,45.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.144,63.0,353,50,14.16,2.53 (2.14-2.92),303,85.84,4.18 (3.99-4.37)
GABA neurons expressing GLU receptors 22,1069,0.091,7.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,489,0.093,20.0,42,15,35.71,5.67 (4.53-6.81),27,64.29,6.09 (5.44-6.74)
da like neurons 11,204,0.201,58.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,357,0.169,54.0,237,6,2.53,3.88 (3.35-4.41),231,97.47,4.43 (4.19-4.67)
endothelial cells 9,1653,0.113,39.0,297,11,3.7,3.73 (2.87-4.59),286,96.3,3.67 (3.46-3.88)
oligodendrocytes 20,253,0.135,37.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,3052,0.135,46.0,125,2,1.6,3.00 (NA-NA),123,98.4,3.36 (3.03-3.68)
astrocytes 8,1266,0.075,43.0,66,18,27.27,1.98 (1.37-2.58),48,72.73,3.80 (3.36-4.25)
oligodendrocyte progenitor cells 12,3303,0.018,1.0,276,37,13.41,2.80 (2.31-3.29),239,86.59,3.68 (3.44-3.92)
oligodendrocytes 10,735,0.088,45.0,277,3,1.08,5.48 (4.48-6.49),274,98.92,3.87 (3.63-4.11)
connective tissue cells 21,125,0.311,56.0,10,0,0.0,NA,10,100.0,1.32 (0.64-1.99)
astrocytes 15,367,0.166,67.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,122,0.173,28.0,11,1,9.09,NA,10,90.91,3.57 (3.08-4.06)
da neurons 6,518,0.166,87.0,122,28,22.95,2.56 (1.96-3.17),94,77.05,4.54 (4.11-4.97)
astrocytes microglia 23,94,0.265,21.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,721,0.157,60.0,61,3,4.92,3.32 (0.22-6.43),58,95.08,2.95 (2.54-3.36)
oligodendrocytes 0,1186,0.112,10.0,300,14,4.67,3.69 (3.14-4.25),286,95.33,3.80 (3.58-4.01)
microglia 1,958,0.114,55.0,290,23,7.93,3.05 (2.36-3.73),267,92.07,3.90 (3.66-4.14)
oligodendrocytes 3,357,0.07,29.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,921,0.115,17.0,200,6,3.0,3.41 (1.97-4.85),194,97.0,3.63 (3.36-3.90)
