tipo_celular,module_size,IPO5_MM,IPO5_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.303,91.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.15,94.0,136,7,5.15,2.80 (1.67-3.92),129,94.85,3.23 (2.95-3.51)
oligodendrocyte progenitor cells 7,4285.0,0.169,93.0,353,67,18.98,2.59 (2.24-2.95),286,81.02,4.25 (4.06-4.44)
GABA neurons expressing GLU receptors 22,599.0,0.179,32.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,685.0,0.143,58.0,135,36,26.67,2.55 (2.06-3.04),99,73.33,3.47 (3.11-3.84)
da like neurons 11,1220.0,0.084,8.0,410,30,7.32,3.80 (3.14-4.47),380,92.68,4.30 (4.10-4.49)
GABA neurons expressing GABA receptors 13,357.0,0.088,8.0,237,11,4.64,4.28 (3.78-4.77),226,95.36,4.41 (4.17-4.66)
endothelial cells 9,385.0,0.082,24.0,275,50,18.18,2.33 (1.95-2.70),225,81.82,4.47 (4.20-4.74)
oligodendrocytes 20,228.0,0.161,34.0,5,4,80.0,2.34 (0.78-3.90),1,20.0,6.89 (NA-NA)
GABA like neurons 14,3052.0,0.159,67.0,125,4,3.2,4.01 (3.02-5.01),121,96.8,3.33 (3.00-3.66)
astrocytes 8,218.0,0.117,57.0,9,1,11.11,4.17 (NA-NA),8,88.89,1.87 (1.01-2.73)
oligodendrocyte progenitor cells 12,708.0,0.052,12.0,25,3,12.0,3.51 (0.27-6.75),22,88.0,2.76 (1.72-3.80)
oligodendrocytes 10,735.0,0.11,59.0,277,6,2.17,6.97 (6.52-7.41),271,97.83,3.83 (3.59-4.07)
connective tissue cells 21,118.0,0.371,88.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,1768.0,0.152,92.0,105,30,28.57,2.38 (1.92-2.85),75,71.43,3.58 (3.17-3.99)
oligodendrocytes 16,155.0,0.139,7.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,228.0,0.124,70.0,2,0,0.0,NA,2,100.0,2.12 (-0.17-4.40)
astrocytes microglia 23,121.0,0.274,28.0,1,0,0.0,NA,1,100.0,6.31 (NA-NA)
astrocytes 4,1807.0,0.17,90.0,104,26,25.0,2.18 (1.70-2.66),78,75.0,3.12 (2.79-3.44)
oligodendrocytes 0,613.0,0.155,61.0,127,17,13.39,2.89 (2.42-3.37),110,86.61,3.09 (2.59-3.59)
microglia 1,813.0,0.081,9.0,79,3,3.8,4.09 (-0.03-8.21),76,96.2,3.06 (2.67-3.45)
oligodendrocytes 3,854.0,0.067,22.0,76,9,11.84,2.79 (1.66-3.92),67,88.16,2.78 (2.43-3.12)
oligodendrocytes 2,921.0,0.186,97.0,200,26,13.0,3.57 (3.08-4.05),174,87.0,3.63 (3.34-3.92)
