tipo_celular,module_size,PIP4K2B_MM,PIP4K2B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181.0,0.067,0.0,8,1,12.5,2.91 (NA-NA),7,87.5,1.04 (0.29-1.79)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.093,18.0,136,4,2.94,2.19 (1.14-3.23),132,97.06,3.24 (2.97-3.52)
oligodendrocyte progenitor cells 7,4285.0,0.129,41.0,353,65,18.41,3.10 (2.64-3.56),288,81.59,4.12 (3.93-4.31)
GABA neurons expressing GLU receptors 22,487.0,0.16,25.0,73,1,1.37,1.32 (NA-NA),72,98.63,2.78 (2.39-3.17)
GLU like neurons 17,1316.0,0.071,8.0,101,7,6.93,4.52 (3.07-5.97),94,93.07,2.93 (2.58-3.28)
da like neurons 11,1220.0,0.097,14.0,410,31,7.56,3.52 (2.94-4.10),379,92.44,4.32 (4.12-4.52)
GABA neurons expressing GABA receptors 13,200.0,0.167,61.0,34,2,5.88,3.53 (3.29-3.77),32,94.12,3.92 (2.96-4.88)
endothelial cells 9,586.0,0.05,1.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,295.0,0.158,38.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,2402.0,0.21,45.0,455,40,8.79,2.80 (2.19-3.41),415,91.21,4.53 (4.35-4.72)
astrocytes 8,47.0,0.039,16.0,76,2,2.63,3.77 (3.67-3.86),74,97.37,4.03 (3.72-4.35)
oligodendrocyte progenitor cells 12,708.0,0.04,7.0,32,11,34.38,1.59 (0.86-2.31),21,65.62,4.32 (3.37-5.27)
oligodendrocytes 10,806.0,0.103,28.0,261,20,7.66,3.03 (2.52-3.53),241,92.34,4.49 (4.24-4.75)
connective tissue cells 21,92.0,0.382,88.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,261.0,0.245,86.0,8,3,37.5,1.39 (-0.70-3.48),5,62.5,5.40 (3.54-7.25)
oligodendrocytes 16,90.0,0.138,17.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553.0,0.114,39.0,124,5,4.03,2.76 (1.55-3.98),119,95.97,4.27 (3.86-4.67)
astrocytes microglia 23,110.0,0.287,28.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.141,42.0,104,20,19.23,2.02 (1.48-2.57),84,80.77,3.07 (2.76-3.38)
oligodendrocytes 0,2078.0,0.119,61.0,238,19,7.98,3.44 (2.50-4.38),219,92.02,3.65 (3.43-3.88)
microglia 1,1615.0,0.076,6.0,161,41,25.47,2.83 (2.15-3.51),120,74.53,3.45 (3.20-3.70)
oligodendrocytes 3,743.0,0.05,9.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630.0,0.162,88.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
