tipo_celular,module_size,SYNJ1_MM,SYNJ1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.16,48.0,32,5,15.62,4.63 (3.36-5.90),27,84.38,3.52 (2.62-4.41)
T cells 18,624,0.19,77.0,142,1,0.7,3.79 (NA-NA),141,99.3,3.20 (2.94-3.47)
astrocytes 5,1656,0.117,53.0,136,5,3.68,3.26 (2.15-4.38),131,96.32,3.21 (2.93-3.49)
oligodendrocyte progenitor cells 7,4285,0.142,61.0,353,51,14.45,2.89 (2.30-3.48),302,85.55,4.08 (3.89-4.26)
GABA neurons expressing GLU receptors 22,848,0.124,12.0,262,43,16.41,3.92 (3.29-4.54),219,83.59,4.21 (3.94-4.48)
GLU like neurons 17,1316,0.214,95.0,101,5,4.95,3.18 (2.53-3.82),96,95.05,3.05 (2.68-3.41)
da like neurons 11,1220,0.157,41.0,410,33,8.05,3.50 (2.96-4.03),377,91.95,4.34 (4.14-4.53)
GABA neurons expressing GABA receptors 13,266,0.141,38.0,118,19,16.1,4.48 (3.97-4.99),99,83.9,4.78 (4.38-5.19)
endothelial cells 9,338,0.174,66.0,191,15,7.85,4.11 (3.32-4.91),176,92.15,3.87 (3.63-4.10)
oligodendrocytes 20,271,0.212,65.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,3052,0.158,66.0,125,8,6.4,6.03 (4.83-7.22),117,93.6,3.21 (2.90-3.52)
astrocytes 8,520,0.261,82.0,288,49,17.01,3.90 (3.44-4.36),239,82.99,4.24 (4.02-4.46)
oligodendrocyte progenitor cells 12,3303,0.144,97.0,276,54,19.57,3.62 (3.05-4.19),222,80.43,3.52 (3.29-3.75)
oligodendrocytes 10,806,0.31,81.0,261,39,14.94,4.00 (3.44-4.56),222,85.06,4.43 (4.16-4.69)
connective tissue cells 21,101,0.286,40.0,116,28,24.14,3.90 (3.26-4.54),88,75.86,4.91 (4.40-5.42)
astrocytes 15,367,0.239,92.0,17,3,17.65,5.03 (2.96-7.10),14,82.35,1.40 (0.72-2.08)
oligodendrocytes 16,313,0.174,31.0,291,30,10.31,3.80 (3.18-4.43),261,89.69,4.40 (4.16-4.64)
da neurons 6,307,0.198,91.0,95,19,20.0,5.44 (4.82-6.06),76,80.0,4.71 (4.19-5.22)
astrocytes microglia 23,57,0.274,24.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.126,19.0,104,11,10.58,1.89 (1.01-2.77),93,89.42,2.99 (2.70-3.28)
oligodendrocytes 0,2078,0.126,75.0,238,11,4.62,2.98 (2.24-3.73),227,95.38,3.67 (3.45-3.90)
microglia 1,958,0.096,25.0,290,20,6.9,2.29 (1.85-2.73),270,93.1,3.95 (3.71-4.19)
oligodendrocytes 3,457,0.081,29.0,345,45,13.04,3.75 (3.31-4.18),300,86.96,4.37 (4.14-4.60)
oligodendrocytes 2,921,0.157,81.0,200,16,8.0,2.58 (2.13-3.04),184,92.0,3.69 (3.41-3.97)
