tipo_celular,module_size,MTPN_MM,MTPN_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.219,71.0,73,1,1.37,4.52 (NA-NA),72,98.63,3.55 (3.20-3.90)
T cells 18,506,0.109,15.0,225,18,8.0,2.69 (2.08-3.31),207,92.0,3.72 (3.46-3.99)
astrocytes 5,1656,0.115,49.0,136,6,4.41,2.23 (1.08-3.39),130,95.59,3.26 (2.98-3.54)
oligodendrocyte progenitor cells 7,4285,0.113,21.0,353,46,13.03,1.92 (1.60-2.23),307,86.97,4.29 (4.12-4.47)
GABA neurons expressing GLU receptors 22,487,0.119,13.0,73,6,8.22,1.76 (1.18-2.34),67,91.78,2.86 (2.45-3.27)
GLU like neurons 17,229,0.278,92.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,1220,0.095,13.0,410,11,2.68,3.64 (2.55-4.72),399,97.32,4.27 (4.08-4.46)
GABA neurons expressing GABA receptors 13,70,0.199,72.0,4,0,0.0,NA,4,100.0,3.85 (3.81-3.89)
endothelial cells 9,559,0.189,62.0,155,1,0.65,3.56 (NA-NA),154,99.35,4.34 (3.98-4.71)
oligodendrocytes 20,253,0.281,86.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402,0.278,61.0,455,25,5.49,2.12 (1.49-2.75),430,94.51,4.53 (4.34-4.71)
astrocytes 8,520,0.061,19.0,288,10,3.47,3.49 (2.21-4.77),278,96.53,4.20 (4.00-4.40)
oligodendrocyte progenitor cells 12,1049,0.043,11.0,235,2,0.85,4.05 (1.52-6.57),233,99.15,3.82 (3.59-4.05)
oligodendrocytes 10,735,0.165,80.0,277,1,0.36,4.81 (NA-NA),276,99.64,3.89 (3.65-4.13)
connective tissue cells 21,100,0.316,73.0,8,0,0.0,NA,8,100.0,1.58 (-0.37-3.52)
astrocytes 15,418,0.048,25.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,107,0.191,25.0,11,2,18.18,0.85 (0.21-1.49),9,81.82,1.63 (0.84-2.42)
da neurons 6,553,0.126,49.0,124,6,4.84,4.48 (0.31-8.65),118,95.16,4.17 (3.78-4.56)
astrocytes microglia 23,96,0.235,5.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03)
astrocytes 4,1807,0.145,50.0,104,17,16.35,1.53 (1.02-2.04),87,83.65,3.15 (2.86-3.44)
oligodendrocytes 0,2078,0.093,12.0,238,11,4.62,2.15 (1.72-2.58),227,95.38,3.72 (3.50-3.95)
microglia 1,958,0.099,31.0,290,21,7.24,2.60 (2.03-3.17),269,92.76,3.94 (3.70-4.18)
oligodendrocytes 3,743,0.072,36.0,76,1,1.32,5.34 (NA-NA),75,98.68,3.13 (2.73-3.52)
oligodendrocytes 2,1630,0.16,84.0,154,2,1.3,2.74 (2.69-2.78),152,98.7,3.25 (2.98-3.52)
