tipo_celular,module_size,EIF3J_MM,EIF3J_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.144,40.0,71,4,5.63,1.72 (0.02-3.43),67,94.37,2.67 (2.25-3.09)
T cells 18,506,0.104,13.0,225,22,9.78,2.82 (2.25-3.40),203,90.22,3.73 (3.46-4.00)
astrocytes 5,328,0.1,16.0,128,3,2.34,3.03 (2.34-3.72),125,97.66,3.59 (3.23-3.94)
oligodendrocyte progenitor cells 7,628,0.129,23.0,164,0,0.0,NA,164,100.0,4.08 (3.76-4.41)
GABA neurons expressing GLU receptors 22,848,0.122,12.0,262,11,4.2,2.01 (1.23-2.79),251,95.8,4.29 (4.05-4.54)
GLU like neurons 17,1316,0.132,58.0,101,1,0.99,2.85 (NA-NA),100,99.01,3.05 (2.70-3.41)
da like neurons 11,1220,0.185,52.0,410,18,4.39,3.18 (2.53-3.82),392,95.61,4.32 (4.12-4.51)
GABA neurons expressing GABA receptors 13,417,0.151,44.0,213,24,11.27,2.52 (1.92-3.13),189,88.73,3.97 (3.71-4.22)
endothelial cells 9,916,0.205,50.0,302,2,0.66,0.97 (-0.53-2.46),300,99.34,4.01 (3.78-4.23)
oligodendrocytes 20,221,0.124,17.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,2402,0.232,51.0,455,29,6.37,2.54 (1.96-3.11),426,93.63,4.51 (4.32-4.70)
astrocytes 8,520,0.086,34.0,288,11,3.82,2.49 (1.82-3.16),277,96.18,4.26 (4.06-4.46)
oligodendrocyte progenitor cells 12,1049,0.163,78.0,235,10,4.26,3.44 (2.89-3.99),225,95.74,3.85 (3.60-4.09)
oligodendrocytes 10,483,0.1,42.0,129,12,9.3,3.63 (3.06-4.20),117,90.7,3.40 (2.96-3.84)
connective tissue cells 21,101,0.356,62.0,116,3,2.59,2.14 (0.67-3.61),113,97.41,4.70 (4.29-5.12)
astrocytes 15,367,0.135,44.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,156,0.18,35.0,3,0,0.0,NA,3,100.0,0.40 (0.24-0.56)
da neurons 6,729,0.127,36.0,182,11,6.04,2.98 (2.18-3.77),171,93.96,3.69 (3.43-3.95)
astrocytes microglia 23,108,0.342,62.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,1807,0.126,19.0,104,13,12.5,1.17 (0.89-1.45),91,87.5,3.13 (2.85-3.41)
oligodendrocytes 0,546,0.143,33.0,252,24,9.52,2.25 (1.74-2.76),228,90.48,4.36 (4.11-4.61)
microglia 1,406,0.089,10.0,278,8,2.88,4.20 (3.37-5.02),270,97.12,4.37 (4.09-4.65)
oligodendrocytes 3,303,0.076,19.0,154,4,2.6,3.78 (3.06-4.49),150,97.4,3.61 (3.29-3.94)
oligodendrocytes 2,526,0.252,47.0,213,3,1.41,4.12 (3.73-4.50),210,98.59,3.98 (3.70-4.26)
