tipo_celular,module_size,CNST_MM,CNST_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181,0.205,47.0,8,1,12.5,2.91 (NA-NA),7,87.5,1.04 (0.29-1.79)
T cells 18,518,0.155,50.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1656,0.118,53.0,136,3,2.21,3.28 (2.89-3.67),133,97.79,3.21 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285,0.15,73.0,353,27,7.65,2.61 (1.90-3.33),326,92.35,4.02 (3.84-4.21)
GABA neurons expressing GLU receptors 22,823,0.141,26.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1247,0.069,9.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,101,0.166,37.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,73,0.093,3.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,412,0.322,92.0,141,10,7.09,3.56 (2.06-5.05),131,92.91,2.91 (2.68-3.14)
oligodendrocytes 20,295,0.334,87.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,3052,0.135,46.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,520,0.059,18.0,288,32,11.11,3.84 (3.27-4.41),256,88.89,4.23 (4.01-4.44)
oligodendrocyte progenitor cells 12,3303,0.077,48.0,276,18,6.52,2.49 (1.87-3.10),258,93.48,3.63 (3.41-3.86)
oligodendrocytes 10,2107,0.269,85.0,358,30,8.38,2.38 (1.69-3.07),328,91.62,4.03 (3.85-4.22)
connective tissue cells 21,106,0.353,86.0,2,0,0.0,NA,2,100.0,4.57 (NA-NA)
astrocytes 15,418,0.068,38.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17)
oligodendrocytes 16,84,0.133,15.0,4,0,0.0,NA,4,100.0,0.39 (0.29-0.50)
da neurons 6,553,0.147,63.0,124,3,2.42,2.17 (-1.29-5.63),121,97.58,4.23 (3.84-4.62)
astrocytes microglia 23,157,0.253,18.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.147,55.0,104,9,8.65,1.93 (1.00-2.86),95,91.35,2.96 (2.67-3.25)
oligodendrocytes 0,2078,0.115,51.0,238,6,2.52,2.89 (1.58-4.20),232,97.48,3.66 (3.44-3.88)
microglia 1,1615,0.109,50.0,161,14,8.7,1.18 (0.58-1.78),147,91.3,3.50 (3.24-3.76)
oligodendrocytes 3,94,0.045,5.0,7,2,28.57,8.28 (8.28-8.28),5,71.43,2.97 (1.07-4.87)
oligodendrocytes 2,1630,0.123,17.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
