tipo_celular,module_size,FMNL2_MM,FMNL2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.127,26.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,349,0.498,93.0,68,5,7.35,2.92 (-0.61-6.45),63,92.65,4.49 (3.96-5.02)
astrocytes 5,222,0.146,21.0,98,5,5.1,4.61 (2.09-7.12),93,94.9,4.60 (4.19-5.01)
oligodendrocyte progenitor cells 7,229,0.224,64.0,45,2,4.44,4.80 (4.77-4.83),43,95.56,5.02 (4.36-5.67)
GABA neurons expressing GLU receptors 22,567,0.117,14.0,16,3,18.75,2.09 (1.81-2.36),13,81.25,1.95 (1.17-2.74)
GLU like neurons 17,637,0.404,92.0,91,17,18.68,2.65 (1.75-3.55),74,81.32,5.03 (4.49-5.58)
da like neurons 11,408,0.409,86.0,25,8,32.0,1.97 (0.87-3.06),17,68.0,6.38 (5.06-7.70)
GABA neurons expressing GABA receptors 13,288,0.539,98.0,93,15,16.13,3.93 (2.75-5.11),78,83.87,5.42 (4.89-5.94)
endothelial cells 9,450,0.416,80.0,74,2,2.7,3.15 (0.39-5.92),72,97.3,5.56 (5.01-6.11)
oligodendrocytes 20,676,0.188,42.0,110,19,17.27,3.98 (2.92-5.04),91,82.73,5.23 (4.76-5.71)
GABA like neurons 14,1300,0.17,32.0,306,24,7.84,3.52 (2.62-4.42),282,92.16,5.26 (5.00-5.53)
astrocytes 8,771,0.313,82.0,48,4,8.33,5.04 (1.99-8.10),44,91.67,4.36 (3.58-5.14)
oligodendrocyte progenitor cells 12,708,0.423,94.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,204,0.444,52.0,92,0,0.0,NA,92,100.0,5.70 (5.23-6.17)
connective tissue cells 21,147,0.214,39.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,418,0.191,58.0,54,0,0.0,NA,54,100.0,3.68 (3.24-4.12)
oligodendrocytes 16,81,0.234,82.0,3,0,0.0,NA,3,100.0,NA
da neurons 6,398,0.587,100.0,138,19,13.77,3.33 (2.37-4.30),119,86.23,5.06 (4.68-5.44)
astrocytes microglia 23,61,0.212,5.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,220,0.221,79.0,63,6,9.52,3.70 (2.68-4.71),57,90.48,5.33 (4.73-5.94)
oligodendrocytes 0,187,0.16,47.0,14,0,0.0,NA,14,100.0,5.53 (4.92-6.14)
microglia 1,346,0.248,86.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,187,0.152,75.0,2,0,0.0,NA,2,100.0,3.78 (NA-NA)
oligodendrocytes 2,347,0.336,91.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
