tipo_celular,module_size,FNBP1_MM,FNBP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.324,92.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,388,0.155,53.0,84,0,0.0,NA,84,100.0,2.97 (2.65-3.30)
astrocytes 5,117,0.097,17.0,28,1,3.57,2.43 (NA-NA),27,96.43,5.43 (4.87-5.98)
oligodendrocyte progenitor cells 7,200,0.278,84.0,16,2,12.5,2.53 (2.34-2.73),14,87.5,4.16 (3.27-5.04)
GABA neurons expressing GLU receptors 22,599,0.265,75.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,1247,0.139,54.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,408,0.172,51.0,25,2,8.0,1.10 (-0.55-2.76),23,92.0,5.00 (3.67-6.34)
GABA neurons expressing GABA receptors 13,288,0.3,84.0,93,2,2.15,2.53 (2.34-2.73),91,97.85,5.22 (4.72-5.72)
endothelial cells 9,450,0.261,63.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676,0.339,60.0,110,0,0.0,NA,110,100.0,4.99 (4.54-5.44)
GABA like neurons 14,1300,0.315,92.0,306,5,1.63,2.36 (1.64-3.09),301,98.37,5.16 (4.90-5.42)
astrocytes 8,279,0.165,11.0,78,2,2.56,2.53 (2.34-2.73),76,97.44,4.37 (3.95-4.79)
oligodendrocyte progenitor cells 12,708,0.302,87.0,25,0,0.0,NA,25,100.0,2.87 (1.90-3.84)
oligodendrocytes 10,236,0.416,31.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,88,0.171,3.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,418,0.134,52.0,54,1,1.85,1.29 (NA-NA),53,98.15,3.73 (3.30-4.17)
oligodendrocytes 16,287,0.38,72.0,105,2,1.9,2.53 (2.34-2.73),103,98.1,5.15 (4.70-5.60)
da neurons 6,398,0.299,87.0,138,3,2.17,1.44 (-0.60-3.49),135,97.83,4.91 (4.55-5.27)
astrocytes microglia 23,89,0.238,23.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,171,0.078,2.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46)
oligodendrocytes 0,479,0.215,85.0,40,0,0.0,NA,40,100.0,5.86 (5.35-6.38)
microglia 1,127,0.117,23.0,24,2,8.33,2.53 (2.34-2.73),22,91.67,5.48 (4.84-6.12)
oligodendrocytes 3,99,0.347,98.0,24,0,0.0,NA,24,100.0,6.50 (5.81-7.19)
oligodendrocytes 2,237,0.333,88.0,26,0,0.0,NA,26,100.0,5.22 (4.28-6.15)
