tipo_celular,module_size,CD99L2_MM,CD99L2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,218.0,0.291,93.0,5,0,0.0,NA,5,100.0,2.33 (0.29-4.37)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.085,10.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285.0,0.129,40.0,353,2,0.57,1.25 (-0.12-2.62),351,99.43,3.91 (3.72-4.09)
GABA neurons expressing GLU receptors 22,848.0,0.157,26.0,262,4,1.53,2.41 (-1.23-6.04),258,98.47,4.18 (3.93-4.42)
GLU like neurons 17,1316.0,0.048,2.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,1220.0,0.137,32.0,410,3,0.73,0.55 (NA-NA),407,99.27,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,357.0,0.208,69.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,338.0,0.137,52.0,191,0,0.0,NA,191,100.0,3.88 (3.66-4.11)
oligodendrocytes 20,275.0,0.1,13.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,2402.0,0.277,61.0,455,3,0.66,0.55 (NA-NA),452,99.34,4.35 (4.17-4.54)
astrocytes 8,520.0,0.115,49.0,288,4,1.39,2.41 (-1.23-6.04),284,98.61,4.19 (3.99-4.39)
oligodendrocyte progenitor cells 12,3303.0,0.071,40.0,276,2,0.72,1.25 (-0.12-2.62),274,99.28,3.56 (3.35-3.78)
oligodendrocytes 10,806.0,0.188,60.0,261,1,0.38,4.26 (NA-NA),260,99.62,4.37 (4.12-4.61)
connective tissue cells 21,96.0,0.29,54.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377.0,0.18,72.0,14,0,0.0,NA,14,100.0,2.14 (0.89-3.38)
oligodendrocytes 16,155.0,0.2,38.0,8,0,0.0,NA,8,100.0,2.72 (-0.13-5.56)
da neurons 6,300.0,0.138,44.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,78.0,0.401,89.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.168,88.0,104,2,1.92,1.25 (-0.12-2.62),102,98.08,2.90 (2.61-3.18)
oligodendrocytes 0,2078.0,0.097,18.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,1615.0,0.093,26.0,161,2,1.24,1.25 (-0.12-2.62),159,98.76,3.30 (3.03-3.57)
oligodendrocytes 3,854.0,0.075,32.0,76,0,0.0,NA,76,100.0,2.78 (2.45-3.11)
oligodendrocytes 2,131.0,0.087,0.0,20,0,0.0,NA,20,100.0,4.51 (3.77-5.25)
