tipo_celular,module_size,PTPN11_MM,PTPN11_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.134,26.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,624,0.152,49.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,423,0.123,31.0,80,10,12.5,5.14 (3.92-6.35),70,87.5,3.14 (2.66-3.62)
oligodendrocyte progenitor cells 7,4285,0.143,62.0,353,49,13.88,2.08 (1.77-2.40),304,86.12,4.28 (4.10-4.46)
GABA neurons expressing GLU receptors 22,714,0.145,28.0,17,7,41.18,2.52 (2.09-2.95),10,58.82,2.16 (1.20-3.12)
GLU like neurons 17,637,0.138,42.0,91,24,26.37,2.57 (1.77-3.36),67,73.63,5.50 (5.03-5.96)
da like neurons 11,265,0.159,37.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,266,0.224,79.0,118,3,2.54,4.53 (3.64-5.43),115,97.46,4.74 (4.38-5.11)
endothelial cells 9,385,0.119,62.0,275,55,20.0,2.38 (2.04-2.72),220,80.0,4.56 (4.28-4.84)
oligodendrocytes 20,322,0.2,76.0,10,1,10.0,5.51 (NA-NA),9,90.0,0.95 (0.38-1.52)
GABA like neurons 14,3052,0.111,26.0,125,1,0.8,3.00 (NA-NA),124,99.2,3.36 (3.03-3.68)
astrocytes 8,577,0.074,41.0,83,9,10.84,3.28 (2.04-4.52),74,89.16,3.25 (2.76-3.73)
oligodendrocyte progenitor cells 12,708,0.191,75.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,806,0.141,44.0,261,9,3.45,3.29 (2.52-4.07),252,96.55,4.42 (4.17-4.67)
connective tissue cells 21,139,0.228,16.0,6,0,0.0,NA,6,100.0,1.24 (-0.25-2.73)
astrocytes 15,338,0.147,49.0,14,0,0.0,NA,14,100.0,1.77 (1.03-2.51)
oligodendrocytes 16,69,0.23,58.0,1,0,0.0,NA,1,100.0,NA
da neurons 6,553,0.167,73.0,124,7,5.65,3.25 (1.98-4.51),117,94.35,4.25 (3.84-4.66)
astrocytes microglia 23,37,0.358,62.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.135,22.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,613,0.16,67.0,127,12,9.45,2.46 (1.94-2.98),115,90.55,3.16 (2.68-3.63)
microglia 1,958,0.11,48.0,290,27,9.31,2.68 (2.26-3.10),263,90.69,3.96 (3.71-4.20)
oligodendrocytes 3,854,0.103,65.0,76,3,3.95,2.11 (0.24-3.98),73,96.05,2.81 (2.48-3.14)
oligodendrocytes 2,921,0.156,80.0,200,14,7.0,4.20 (3.09-5.32),186,93.0,3.57 (3.30-3.84)
