tipo_celular,module_size,PDHX_MM,PDHX_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.139,35.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,727,0.069,3.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,1141,0.146,70.0,166,10,6.02,1.39 (0.84-1.94),156,93.98,3.55 (3.30-3.80)
oligodendrocyte progenitor cells 7,4285,0.147,69.0,353,22,6.23,1.33 (0.97-1.69),331,93.77,4.11 (3.94-4.29)
GABA neurons expressing GLU receptors 22,567,0.141,26.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,300,0.158,22.0,16,4,25.0,1.92 (1.18-2.65),12,75.0,2.15 (0.97-3.33)
da like neurons 11,102,0.066,2.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.07 (2.93-3.20)
GABA neurons expressing GABA receptors 13,101,0.148,35.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,1653,0.093,22.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,275,0.341,87.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,3052,0.244,100.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,577,0.054,22.0,83,1,1.2,2.53 (NA-NA),82,98.8,3.26 (2.81-3.72)
oligodendrocyte progenitor cells 12,3303,0.082,54.0,276,17,6.16,1.97 (1.52-2.43),259,93.84,3.68 (3.46-3.90)
oligodendrocytes 10,806,0.098,26.0,261,1,0.38,1.82 (NA-NA),260,99.62,4.38 (4.14-4.62)
connective tissue cells 21,111,0.23,22.0,26,2,7.69,2.12 (1.32-2.92),24,92.31,2.57 (1.84-3.30)
astrocytes 15,1768,0.112,73.0,105,12,11.43,1.48 (1.03-1.94),93,88.57,3.46 (3.11-3.80)
oligodendrocytes 16,91,0.308,94.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,518,0.104,44.0,122,8,6.56,0.98 (0.42-1.55),114,93.44,4.27 (3.90-4.65)
astrocytes microglia 23,46,0.377,83.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.146,41.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078,0.131,84.0,238,4,1.68,1.82 (0.56-3.08),234,98.32,3.67 (3.45-3.89)
microglia 1,1615,0.073,5.0,161,21,13.04,1.24 (0.91-1.58),140,86.96,3.66 (3.40-3.91)
oligodendrocytes 3,1003,0.086,40.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,921,0.142,58.0,200,1,0.5,1.32 (NA-NA),199,99.5,3.64 (3.37-3.90)
