tipo_celular,module_size,INPP4A_MM,INPP4A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.309,84.0,102,13,12.75,1.98 (1.31-2.65),89,87.25,3.73 (3.35-4.12)
T cells 18,506,0.123,20.0,225,12,5.33,3.03 (1.44-4.63),213,94.67,3.64 (3.40-3.89)
astrocytes 5,156,0.142,48.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 7,4285,0.131,44.0,353,34,9.63,2.57 (1.87-3.28),319,90.37,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,823,0.151,32.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1247,0.126,43.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,120,0.373,80.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,238,0.172,55.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,1653,0.182,83.0,297,3,1.01,3.35 (1.74-4.96),294,98.99,3.68 (3.47-3.88)
oligodendrocytes 20,279,0.23,57.0,16,2,12.5,4.17 (NA-NA),14,87.5,2.26 (1.50-3.01)
GABA like neurons 14,1300,0.262,75.0,306,18,5.88,2.82 (1.73-3.92),288,94.12,5.27 (5.02-5.53)
astrocytes 8,140,0.07,32.0,1,0,0.0,NA,1,100.0,NA
oligodendrocyte progenitor cells 12,3303,0.095,70.0,276,34,12.32,3.19 (2.50-3.88),242,87.68,3.59 (3.37-3.82)
oligodendrocytes 10,2107,0.155,53.0,358,26,7.26,1.69 (1.13-2.25),332,92.74,4.09 (3.90-4.27)
connective tissue cells 21,91,0.29,52.0,4,0,0.0,NA,4,100.0,0.35 (0.26-0.44)
astrocytes 15,1401,0.093,57.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,85,0.146,8.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.153,67.0,124,4,3.23,2.37 (0.94-3.80),120,96.77,4.27 (3.87-4.67)
astrocytes microglia 23,253,0.183,13.0,47,1,2.13,0.94 (NA-NA),46,97.87,2.89 (2.57-3.22)
astrocytes 4,255,0.137,20.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,1186,0.083,2.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,480,0.196,53.0,163,4,2.45,2.33 (2.07-2.59),159,97.55,3.75 (3.48-4.02)
oligodendrocytes 3,854,0.085,43.0,76,2,2.63,2.19 (-1.70-6.07),74,97.37,2.80 (2.47-3.12)
oligodendrocytes 2,347,0.26,74.0,15,0,0.0,NA,15,100.0,4.87 (4.10-5.63)
