tipo_celular,module_size,ACTG1_MM,ACTG1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.225,68.0,140,11,7.86,3.69 (2.71-4.68),129,92.14,4.59 (4.14-5.04)
T cells 18,506,0.378,83.0,225,33,14.67,2.85 (2.31-3.38),192,85.33,3.76 (3.48-4.03)
astrocytes 5,228,0.339,91.0,266,53,19.92,3.29 (2.76-3.83),213,80.08,4.33 (4.12-4.55)
oligodendrocyte progenitor cells 7,628,0.394,97.0,164,5,3.05,3.75 (2.51-4.98),159,96.95,4.10 (3.76-4.44)
GABA neurons expressing GLU receptors 22,848,0.433,95.0,262,52,19.85,4.19 (3.49-4.89),210,80.15,4.15 (3.89-4.41)
GLU like neurons 17,685,0.267,88.0,135,38,28.15,2.22 (1.78-2.66),97,71.85,3.52 (3.16-3.88)
da like neurons 11,1220,0.637,100.0,410,27,6.59,2.88 (2.27-3.48),383,93.41,4.33 (4.14-4.52)
GABA neurons expressing GABA receptors 13,417,0.151,44.0,213,31,14.55,1.88 (1.28-2.48),182,85.45,4.07 (3.83-4.30)
endothelial cells 9,559,0.316,84.0,155,9,5.81,4.20 (3.49-4.90),146,94.19,4.34 (3.97-4.72)
oligodendrocytes 20,938,0.273,92.0,169,22,13.02,2.74 (1.97-3.51),147,86.98,3.56 (3.33-3.78)
GABA like neurons 14,2402,0.669,98.0,455,37,8.13,2.13 (1.61-2.65),418,91.87,4.55 (4.37-4.73)
astrocytes 8,520,0.442,97.0,288,40,13.89,3.51 (2.94-4.09),248,86.11,4.27 (4.06-4.48)
oligodendrocyte progenitor cells 12,143,0.353,18.0,1,0,0.0,NA,1,100.0,7.70 (NA-NA)
oligodendrocytes 10,806,0.531,97.0,261,37,14.18,4.75 (4.07-5.43),224,85.82,4.30 (4.04-4.55)
connective tissue cells 21,301,0.508,79.0,158,14,8.86,4.61 (3.10-6.13),144,91.14,4.21 (3.84-4.58)
astrocytes 15,261,0.193,77.0,8,5,62.5,2.11 (0.07-4.15),3,37.5,5.77 (3.36-8.18)
oligodendrocytes 16,313,0.363,83.0,291,21,7.22,3.42 (2.81-4.03),270,92.78,4.41 (4.17-4.64)
da neurons 6,409,0.167,69.0,235,8,3.4,3.09 (1.77-4.41),227,96.6,4.01 (3.75-4.26)
astrocytes microglia 23,70,0.383,73.0,76,8,10.53,4.79 (4.37-5.22),68,89.47,4.10 (3.50-4.70)
astrocytes 4,208,0.355,88.0,173,8,4.62,3.00 (2.15-3.85),165,95.38,3.82 (3.51-4.12)
oligodendrocytes 0,116,0.191,61.0,169,6,3.55,4.49 (3.29-5.70),163,96.45,4.27 (3.96-4.57)
microglia 1,214,0.382,91.0,227,21,9.25,4.06 (3.48-4.63),206,90.75,4.09 (3.84-4.35)
oligodendrocytes 3,457,0.383,97.0,345,37,10.72,3.44 (3.01-3.87),308,89.28,4.38 (4.15-4.60)
oligodendrocytes 2,526,0.511,93.0,213,1,0.47,2.97 (NA-NA),212,99.53,3.99 (3.71-4.26)
