tipo_celular,module_size,BPTF_MM,BPTF_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,249,0.198,76.0,35,0,0.0,NA,35,100.0,3.74 (2.80-4.69)
T cells 18,388,0.12,32.0,84,8,9.52,2.41 (2.26-2.55),76,90.48,3.04 (2.68-3.40)
astrocytes 5,118,0.255,79.0,8,0,0.0,NA,8,100.0,4.18 (2.41-5.94)
oligodendrocyte progenitor cells 7,436,0.153,66.0,219,7,3.2,4.23 (2.97-5.48),212,96.8,5.26 (4.97-5.55)
GABA neurons expressing GLU receptors 22,192,0.248,85.0,55,6,10.91,2.10 (1.82-2.39),49,89.09,4.30 (3.88-4.71)
GLU like neurons 17,300,0.141,15.0,16,7,43.75,2.62 (1.82-3.42),9,56.25,1.54 (0.08-3.00)
da like neurons 11,853,0.231,91.0,133,60,45.11,2.40 (2.08-2.73),73,54.89,4.12 (3.69-4.55)
GABA neurons expressing GABA receptors 13,288,0.197,61.0,93,12,12.9,3.52 (2.29-4.75),81,87.1,5.48 (4.97-5.98)
endothelial cells 9,1653,0.131,53.0,297,10,3.37,3.65 (2.61-4.70),287,96.63,3.67 (3.47-3.88)
oligodendrocytes 20,676,0.503,79.0,110,10,9.09,2.44 (1.52-3.36),100,90.91,5.37 (4.94-5.80)
GABA like neurons 14,1300,0.3,88.0,306,17,5.56,3.02 (2.05-3.99),289,94.44,5.28 (5.02-5.54)
astrocytes 8,279,0.245,38.0,78,7,8.97,2.71 (2.07-3.34),71,91.03,4.50 (4.07-4.93)
oligodendrocyte progenitor cells 12,254,0.3,57.0,37,6,16.22,3.50 (2.70-4.29),31,83.78,4.74 (4.07-5.40)
oligodendrocytes 10,236,0.398,26.0,82,4,4.88,3.45 (2.71-4.20),78,95.12,5.10 (4.55-5.64)
connective tissue cells 21,111,0.146,1.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,208,0.295,61.0,4,1,25.0,4.85 (NA-NA),3,75.0,2.25 (-0.30-4.81)
oligodendrocytes 16,287,0.498,98.0,105,14,13.33,2.68 (1.82-3.53),91,86.67,5.67 (5.29-6.06)
da neurons 6,398,0.154,52.0,138,18,13.04,2.76 (1.83-3.69),120,86.96,5.20 (4.84-5.56)
astrocytes microglia 23,46,0.139,0.0,73,0,0.0,NA,73,100.0,4.07 (3.76-4.38)
astrocytes 4,251,0.15,40.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,261,0.231,81.0,42,12,28.57,2.13 (1.17-3.09),30,71.43,5.22 (4.77-5.67)
microglia 1,1615,0.148,88.0,161,62,38.51,2.16 (1.88-2.44),99,61.49,4.23 (3.94-4.52)
oligodendrocytes 3,357,0.237,93.0,127,9,7.09,4.14 (3.08-5.20),118,92.91,3.04 (2.70-3.39)
oligodendrocytes 2,407,0.226,94.0,122,63,51.64,2.26 (1.98-2.53),59,48.36,5.38 (4.90-5.87)
