tipo_celular,module_size,CSNK1A1_MM,CSNK1A1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.143,29.0,102,44,43.14,2.87 (2.50-3.24),58,56.86,4.02 (3.47-4.57)
T cells 18,624,0.096,11.0,142,4,2.82,5.98 (4.17-7.78),138,97.18,3.16 (2.90-3.43)
astrocytes 5,1141,0.115,27.0,166,48,28.92,2.81 (2.39-3.22),118,71.08,3.67 (3.37-3.97)
oligodendrocyte progenitor cells 7,448,0.145,53.0,108,4,3.7,5.84 (4.19-7.49),104,96.3,3.12 (2.69-3.56)
GABA neurons expressing GLU receptors 22,567,0.136,23.0,16,3,18.75,2.91 (1.29-4.54),13,81.25,1.72 (1.02-2.41)
GLU like neurons 17,685,0.207,78.0,135,38,28.15,2.61 (2.17-3.04),97,71.85,3.47 (3.08-3.86)
da like neurons 11,108,0.355,88.0,5,0,0.0,NA,5,100.0,4.24 (3.33-5.15)
GABA neurons expressing GABA receptors 13,238,0.168,54.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,412,0.286,87.0,141,7,4.96,2.36 (1.32-3.40),134,95.04,3.00 (2.75-3.24)
oligodendrocytes 20,322,0.117,47.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,1300,0.098,9.0,306,40,13.07,3.36 (2.83-3.89),266,86.93,5.47 (5.20-5.74)
astrocytes 8,727,0.127,62.0,29,1,3.45,1.82 (NA-NA),28,96.55,2.39 (1.88-2.90)
oligodendrocyte progenitor cells 12,153,0.329,24.0,27,2,7.41,2.18 (-0.23-4.59),25,92.59,5.23 (4.36-6.10)
oligodendrocytes 10,130,0.099,7.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,152,0.142,6.0,21,0,0.0,NA,21,100.0,5.18 (3.84-6.52)
astrocytes 15,1768,0.165,96.0,105,35,33.33,2.52 (2.12-2.93),70,66.67,3.57 (3.13-4.01)
oligodendrocytes 16,82,0.129,7.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.118,42.0,124,8,6.45,3.27 (2.31-4.23),116,93.55,4.27 (3.86-4.69)
astrocytes microglia 23,229,0.13,0.0,99,3,3.03,5.57 (3.60-7.55),96,96.97,4.25 (3.92-4.59)
astrocytes 4,752,0.107,3.0,96,18,18.75,3.03 (2.45-3.60),78,81.25,3.35 (2.97-3.73)
oligodendrocytes 0,1186,0.121,17.0,300,24,8.0,4.11 (3.72-4.51),276,92.0,3.76 (3.54-3.98)
microglia 1,480,0.151,30.0,163,27,16.56,3.79 (3.45-4.14),136,83.44,3.69 (3.37-4.01)
oligodendrocytes 3,854,0.091,52.0,76,9,11.84,3.57 (2.65-4.49),67,88.16,2.66 (2.32-3.01)
oligodendrocytes 2,804,0.109,7.0,84,30,35.71,3.04 (2.58-3.50),54,64.29,2.42 (1.96-2.88)
