tipo_celular,module_size,CUL2_MM,CUL2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.103,11.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,282,0.133,36.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,1656,0.085,10.0,136,3,2.21,3.37 (1.84-4.90),133,97.79,3.20 (2.93-3.48)
oligodendrocyte progenitor cells 7,4285,0.154,77.0,353,54,15.3,2.68 (2.28-3.07),299,84.7,4.16 (3.97-4.36)
GABA neurons expressing GLU receptors 22,703,0.139,24.0,23,4,17.39,2.83 (1.50-4.16),19,82.61,1.93 (1.11-2.74)
GLU like neurons 17,1316,0.138,63.0,101,7,6.93,3.43 (2.65-4.21),94,93.07,3.03 (2.66-3.40)
da like neurons 11,82,0.261,51.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,73,0.121,20.0,16,0,0.0,NA,16,100.0,2.22 (1.28-3.17)
endothelial cells 9,1653,0.08,13.0,297,21,7.07,4.00 (3.57-4.42),276,92.93,3.65 (3.43-3.87)
oligodendrocytes 20,250,0.23,66.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402,0.182,35.0,455,37,8.13,2.59 (2.04-3.14),418,91.87,4.55 (4.37-4.74)
astrocytes 8,520,0.048,11.0,288,17,5.9,3.01 (2.35-3.68),271,94.1,4.25 (4.05-4.46)
oligodendrocyte progenitor cells 12,3303,0.111,84.0,276,45,16.3,2.92 (2.51-3.32),231,83.7,3.69 (3.44-3.94)
oligodendrocytes 10,735,0.12,63.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,111,0.369,87.0,26,11,42.31,3.13 (2.60-3.66),15,57.69,2.12 (1.12-3.12)
astrocytes 15,208,0.073,41.0,4,0,0.0,NA,4,100.0,3.12 (0.87-5.36)
oligodendrocytes 16,121,0.29,88.0,8,0,0.0,NA,8,100.0,0.99 (0.10-1.89)
da neurons 6,518,0.123,63.0,122,19,15.57,2.52 (1.84-3.20),103,84.43,4.36 (3.94-4.79)
astrocytes microglia 23,108,0.284,25.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,1807,0.144,48.0,104,30,28.85,2.36 (1.95-2.77),74,71.15,3.09 (2.74-3.44)
oligodendrocytes 0,2078,0.117,57.0,238,18,7.56,3.52 (2.87-4.16),220,92.44,3.65 (3.41-3.88)
microglia 1,1615,0.084,14.0,161,48,29.81,2.60 (2.16-3.04),113,70.19,3.61 (3.29-3.93)
oligodendrocytes 3,743,0.08,48.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,1630,0.144,54.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
