tipo_celular,module_size,SORL1_MM,SORL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,235,0.58,97.0,140,30,21.43,3.70 (3.30-4.10),110,78.57,4.83 (4.50-5.17)
T cells 18,393,0.328,90.0,59,6,10.17,3.44 (2.99-3.90),53,89.83,3.06 (2.50-3.62)
astrocytes 5,118,0.205,37.0,8,2,25.0,5.21 (5.21-5.21),6,75.0,3.83 (1.50-6.17)
oligodendrocyte progenitor cells 7,4285,0.14,57.0,353,76,21.53,2.89 (2.53-3.25),277,78.47,4.26 (4.06-4.45)
GABA neurons expressing GLU receptors 22,823,0.205,67.0,23,1,4.35,1.01 (NA-NA),22,95.65,2.48 (1.73-3.23)
GLU like neurons 17,1316,0.056,3.0,101,4,3.96,3.13 (2.28-3.99),97,96.04,3.05 (2.68-3.41)
da like neurons 11,408,0.104,24.0,25,13,52.0,3.88 (2.15-5.62),12,48.0,5.97 (4.35-7.59)
GABA neurons expressing GABA receptors 13,357,0.254,82.0,237,25,10.55,5.05 (4.35-5.76),212,89.45,4.31 (4.06-4.55)
endothelial cells 9,450,0.234,58.0,74,8,10.81,4.42 (3.55-5.30),66,89.19,5.67 (5.05-6.29)
oligodendrocytes 20,348,0.134,51.0,33,2,6.06,3.21 (2.29-4.12),31,93.94,2.70 (2.18-3.22)
GABA like neurons 14,3052,0.123,36.0,125,1,0.8,NA,124,99.2,3.35 (3.03-3.68)
astrocytes 8,279,0.263,43.0,78,31,39.74,3.83 (3.23-4.44),47,60.26,4.73 (4.19-5.27)
oligodendrocyte progenitor cells 12,3303,0.103,78.0,276,58,21.01,2.93 (2.58-3.29),218,78.99,3.77 (3.51-4.03)
oligodendrocytes 10,2107,0.326,92.0,358,76,21.23,2.73 (2.38-3.09),282,78.77,4.28 (4.08-4.48)
connective tissue cells 21,100,0.408,94.0,8,5,62.5,NA,3,37.5,1.58 (-0.37-3.52)
astrocytes 15,208,0.429,81.0,4,2,50.0,4.20 (2.94-5.47),2,50.0,0.95 (NA-NA)
oligodendrocytes 16,108,0.305,86.0,5,2,40.0,3.01 (1.93-4.08),3,60.0,4.62 (3.54-5.69)
da neurons 6,448,0.117,67.0,43,2,4.65,3.73 (3.62-3.83),41,95.35,3.25 (2.70-3.81)
astrocytes microglia 23,229,0.467,94.0,99,18,18.18,3.96 (3.47-4.44),81,81.82,4.37 (3.98-4.77)
astrocytes 4,220,0.122,22.0,63,17,26.98,3.48 (2.99-3.97),46,73.02,6.04 (5.41-6.66)
oligodendrocytes 0,117,0.302,99.0,4,0,0.0,NA,4,100.0,5.93 (4.98-6.88)
microglia 1,315,0.382,98.0,144,25,17.36,4.06 (3.41-4.71),119,82.64,4.55 (4.20-4.89)
oligodendrocytes 3,242,0.24,86.0,6,0,0.0,NA,6,100.0,5.99 (5.03-6.94)
oligodendrocytes 2,921,0.176,94.0,200,28,14.0,4.03 (3.41-4.64),172,86.0,3.54 (3.25-3.83)
