tipo_celular,module_size,NCOA7_MM,NCOA7_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.249,82.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,518,0.239,89.0,131,1,0.76,2.25 (NA-NA),130,99.24,3.08 (2.80-3.36)
astrocytes 5,165,0.187,49.0,51,0,0.0,NA,51,100.0,5.35 (4.68-6.01)
oligodendrocyte progenitor cells 7,229,0.277,79.0,45,0,0.0,NA,45,100.0,5.01 (4.39-5.62)
GABA neurons expressing GLU receptors 22,567,0.147,29.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,637,0.153,48.0,91,7,7.69,0.61 (0.16-1.06),84,92.31,4.99 (4.54-5.45)
da like neurons 11,89,0.366,71.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
GABA neurons expressing GABA receptors 13,88,0.132,29.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,450,0.225,55.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676,0.137,37.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66)
GABA like neurons 14,2402,0.281,62.0,455,12,2.64,0.78 (0.56-1.00),443,97.36,4.48 (4.30-4.65)
astrocytes 8,771,0.456,90.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708,0.38,92.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,236,0.369,22.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,147,0.22,42.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,458,0.231,87.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,287,0.272,41.0,105,5,4.76,1.31 (0.80-1.82),100,95.24,5.36 (4.96-5.77)
da neurons 6,553,0.083,15.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,96,0.282,26.0,3,0,0.0,NA,3,100.0,1.95 (-1.12-5.03)
astrocytes 4,102,0.125,12.0,42,0,0.0,NA,42,100.0,5.68 (4.96-6.40)
oligodendrocytes 0,261,0.153,30.0,42,6,14.29,1.29 (0.87-1.70),36,85.71,4.70 (4.08-5.32)
microglia 1,346,0.126,35.0,43,0,0.0,NA,43,100.0,3.77 (3.26-4.27)
oligodendrocytes 3,127,0.171,16.0,45,3,6.67,1.55 (0.78-2.31),42,93.33,4.68 (3.83-5.53)
oligodendrocytes 2,526,0.1,5.0,213,1,0.47,7.18 (NA-NA),212,99.53,3.96 (3.69-4.23)
