tipo_celular,module_size,SUGP2_MM,SUGP2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.095,10.0,73,0,0.0,NA,73,100.0,3.56 (3.22-3.91)
T cells 18,624,0.08,6.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,932,0.09,20.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.137,53.0,353,17,4.82,1.58 (1.03-2.13),336,95.18,4.03 (3.85-4.21)
GABA neurons expressing GLU receptors 22,400,0.193,47.0,24,5,20.83,0.42 (0.32-0.52),19,79.17,2.61 (2.16-3.07)
GLU like neurons 17,1247,0.157,66.0,51,1,1.96,NA,50,98.04,3.62 (3.05-4.20)
da like neurons 11,853,0.094,22.0,133,12,9.02,1.49 (0.87-2.11),121,90.98,3.44 (3.13-3.76)
GABA neurons expressing GABA receptors 13,238,0.126,26.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,1653,0.122,46.0,297,0,0.0,NA,297,100.0,3.67 (3.47-3.88)
oligodendrocytes 20,358,0.045,15.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2090,0.144,43.0,74,1,1.35,NA,73,98.65,2.94 (2.57-3.32)
astrocytes 8,1266,0.111,73.0,66,10,15.15,1.65 (0.91-2.39),56,84.85,3.56 (3.13-3.99)
oligodendrocyte progenitor cells 12,3303,0.128,93.0,276,11,3.99,2.11 (1.55-2.66),265,96.01,3.62 (3.40-3.84)
oligodendrocytes 10,2107,0.115,36.0,358,17,4.75,1.58 (1.03-2.13),341,95.25,4.01 (3.82-4.20)
connective tissue cells 21,139,0.222,11.0,4,0,0.0,NA,4,100.0,3.51 (2.25-4.78)
astrocytes 15,1768,0.045,10.0,105,10,9.52,1.84 (1.32-2.36),95,90.48,3.35 (3.00-3.71)
oligodendrocytes 16,85,0.244,66.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,307,0.114,45.0,95,0,0.0,NA,95,100.0,4.85 (4.41-5.28)
astrocytes microglia 23,255,0.22,24.0,57,0,0.0,NA,57,100.0,2.65 (2.29-3.01)
astrocytes 4,251,0.176,60.0,34,0,0.0,NA,34,100.0,5.25 (4.63-5.86)
oligodendrocytes 0,1186,0.117,13.0,300,0,0.0,NA,300,100.0,3.79 (3.59-4.00)
microglia 1,813,0.095,22.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,357,0.054,13.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,921,0.146,65.0,200,2,1.0,3.22 (NA-NA),198,99.0,3.62 (3.36-3.89)
