tipo_celular,module_size,KIFAP3_MM,KIFAP3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.124,24.0,32,1,3.12,2.24 (NA-NA),31,96.88,3.78 (2.98-4.58)
T cells 18,282,0.185,58.0,241,6,2.49,4.72 (3.32-6.13),235,97.51,4.03 (3.77-4.29)
astrocytes 5,1141,0.124,38.0,166,15,9.04,1.77 (1.21-2.32),151,90.96,3.55 (3.29-3.80)
oligodendrocyte progenitor cells 7,4285,0.12,27.0,353,38,10.76,2.22 (1.74-2.70),315,89.24,4.13 (3.94-4.31)
GABA neurons expressing GLU receptors 22,823,0.063,2.0,23,2,8.7,NA,21,91.3,2.40 (1.67-3.12)
GLU like neurons 17,1316,0.149,72.0,101,2,1.98,3.45 (2.28-4.62),99,98.02,3.04 (2.68-3.40)
da like neurons 11,142,0.258,59.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,357,0.307,89.0,237,2,0.84,2.95 (NA-NA),235,99.16,4.42 (4.18-4.65)
endothelial cells 9,338,0.129,49.0,191,6,3.14,4.66 (2.90-6.42),185,96.86,3.85 (3.63-4.07)
oligodendrocytes 20,253,0.113,27.0,7,0,0.0,NA,7,100.0,0.94 (0.08-1.80)
GABA like neurons 14,2402,0.266,59.0,455,27,5.93,2.41 (1.82-3.00),428,94.07,4.52 (4.33-4.70)
astrocytes 8,520,0.155,62.0,288,29,10.07,3.74 (3.16-4.33),259,89.93,4.23 (4.02-4.44)
oligodendrocyte progenitor cells 12,1049,0.091,49.0,235,1,0.43,3.74 (NA-NA),234,99.57,3.82 (3.59-4.06)
oligodendrocytes 10,735,0.24,95.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,77,0.287,50.0,3,0,0.0,NA,3,100.0,2.87 (-1.86-7.60)
astrocytes 15,367,0.183,75.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,313,0.239,59.0,291,23,7.9,3.80 (3.08-4.53),268,92.1,4.38 (4.15-4.62)
da neurons 6,409,0.347,98.0,235,7,2.98,3.45 (2.43-4.46),228,97.02,4.00 (3.74-4.25)
astrocytes microglia 23,41,0.431,83.0,3,0,0.0,NA,3,100.0,NA
astrocytes 4,752,0.143,34.0,96,5,5.21,2.42 (0.75-4.09),91,94.79,3.33 (2.99-3.66)
oligodendrocytes 0,2078,0.098,19.0,238,6,2.52,2.24 (1.03-3.46),232,97.48,3.67 (3.45-3.89)
microglia 1,214,0.145,34.0,227,14,6.17,4.75 (4.07-5.43),213,93.83,4.03 (3.79-4.28)
oligodendrocytes 3,457,0.089,34.0,345,23,6.67,3.57 (2.92-4.22),322,93.33,4.34 (4.12-4.56)
oligodendrocytes 2,921,0.106,9.0,200,9,4.5,2.80 (2.46-3.15),191,95.5,3.66 (3.39-3.94)
