tipo_celular,module_size,ARID4A_MM,ARID4A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.189,64.0,32,0,0.0,NA,32,100.0,3.72 (2.95-4.50)
T cells 18,624,0.196,81.0,142,1,0.7,4.27 (NA-NA),141,99.3,3.20 (2.93-3.47)
astrocytes 5,1141,0.132,51.0,166,32,19.28,2.25 (1.86-2.64),134,80.72,3.74 (3.46-4.01)
oligodendrocyte progenitor cells 7,4285,0.139,56.0,353,51,14.45,2.15 (1.82-2.48),302,85.55,4.29 (4.11-4.47)
GABA neurons expressing GLU receptors 22,848,0.156,26.0,262,5,1.91,0.82 (0.42-1.22),257,98.09,4.25 (4.01-4.49)
GLU like neurons 17,1316,0.139,64.0,101,0,0.0,NA,101,100.0,3.05 (2.70-3.40)
da like neurons 11,265,0.099,12.0,4,0,0.0,NA,4,100.0,1.89 (0.29-3.49)
GABA neurons expressing GABA receptors 13,200,0.116,18.0,34,3,8.82,3.58 (3.41-3.75),31,91.18,3.93 (2.92-4.94)
endothelial cells 9,1653,0.132,54.0,297,1,0.34,NA,296,99.66,3.67 (3.47-3.88)
oligodendrocytes 20,295,0.072,12.0,28,8,28.57,2.86 (2.16-3.55),20,71.43,1.89 (1.35-2.44)
GABA like neurons 14,3052,0.075,6.0,125,1,0.8,3.74 (NA-NA),124,99.2,3.35 (3.02-3.67)
astrocytes 8,218,0.065,36.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,708,0.053,13.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,2107,0.116,37.0,358,58,16.2,2.12 (1.80-2.43),300,83.8,4.34 (4.16-4.52)
connective tissue cells 21,104,0.222,17.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,377,0.176,69.0,14,4,28.57,1.28 (-0.27-2.83),10,71.43,2.71 (0.96-4.45)
oligodendrocytes 16,65,0.192,46.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448,0.092,37.0,43,5,11.63,3.90 (3.68-4.13),38,88.37,3.18 (2.58-3.78)
astrocytes microglia 23,157,0.198,0.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.121,8.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186,0.123,20.0,300,15,5.0,3.83 (3.45-4.21),285,95.0,3.79 (3.57-4.01)
microglia 1,1615,0.156,92.0,161,44,27.33,1.89 (1.58-2.20),117,72.67,3.96 (3.69-4.24)
oligodendrocytes 3,357,0.121,68.0,127,2,1.57,2.65 (2.03-3.27),125,98.43,3.13 (2.79-3.47)
oligodendrocytes 2,804,0.143,40.0,84,3,3.57,0.60 (0.21-1.00),81,96.43,2.79 (2.45-3.12)
