tipo_celular,module_size,KCMF1_MM,KCMF1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.133,11.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,624,0.134,35.0,142,0,0.0,NA,142,100.0,3.21 (2.94-3.48)
astrocytes 5,1656,0.103,30.0,136,0,0.0,NA,136,100.0,3.21 (2.94-3.48)
oligodendrocyte progenitor cells 7,4285,0.155,79.0,353,21,5.95,1.74 (1.14-2.35),332,94.05,4.02 (3.84-4.21)
GABA neurons expressing GLU receptors 22,848,0.185,40.0,262,13,4.96,2.95 (1.97-3.94),249,95.04,4.22 (3.97-4.47)
GLU like neurons 17,1316,0.198,93.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,120,0.229,45.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,93,0.187,73.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,1653,0.108,35.0,297,7,2.36,3.04 (2.03-4.05),290,97.64,3.68 (3.47-3.88)
oligodendrocytes 20,348,0.182,66.0,33,2,6.06,2.95 (2.42-3.48),31,93.94,2.72 (2.20-3.24)
GABA like neurons 14,3052,0.154,63.0,125,4,3.2,3.56 (NA-NA),121,96.8,3.35 (3.02-3.68)
astrocytes 8,577,0.04,10.0,83,2,2.41,1.70 (0.08-3.32),81,97.59,3.30 (2.84-3.75)
oligodendrocyte progenitor cells 12,3303,0.12,89.0,276,12,4.35,2.25 (1.73-2.76),264,95.65,3.59 (3.36-3.81)
oligodendrocytes 10,2107,0.107,32.0,358,22,6.15,1.61 (1.02-2.19),336,93.85,4.01 (3.83-4.20)
connective tissue cells 21,111,0.281,52.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1401,0.1,63.0,96,0,0.0,NA,96,100.0,3.61 (3.16-4.06)
oligodendrocytes 16,107,0.212,43.0,11,1,9.09,0.52 (NA-NA),10,90.91,1.58 (0.87-2.29)
da neurons 6,553,0.123,47.0,124,5,4.03,1.54 (-0.69-3.77),119,95.97,4.24 (3.85-4.63)
astrocytes microglia 23,157,0.288,38.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.166,77.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,2078,0.118,58.0,238,8,3.36,2.44 (1.29-3.59),230,96.64,3.67 (3.44-3.89)
microglia 1,813,0.1,28.0,79,3,3.8,2.87 (2.25-3.49),76,96.2,3.11 (2.69-3.53)
oligodendrocytes 3,681,0.076,32.0,87,6,6.9,1.91 (0.98-2.85),81,93.1,2.64 (2.36-2.92)
oligodendrocytes 2,921,0.132,40.0,200,1,0.5,2.24 (NA-NA),199,99.5,3.63 (3.36-3.90)
