tipo_celular,module_size,MYO5A_MM,MYO5A_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,500,0.417,97.0,32,4,12.5,4.11 (0.44-7.77),28,87.5,3.69 (2.88-4.51)
T cells 18,282,0.079,10.0,241,6,2.49,3.69 (2.20-5.18),235,97.51,4.06 (3.81-4.32)
astrocytes 5,1141,0.145,70.0,166,9,5.42,1.55 (0.18-2.92),157,94.58,3.47 (3.23-3.72)
oligodendrocyte progenitor cells 7,436,0.109,36.0,219,12,5.48,4.92 (4.24-5.60),207,94.52,5.22 (4.92-5.51)
GABA neurons expressing GLU receptors 22,459,0.086,14.0,165,3,1.82,NA,162,98.18,5.06 (4.72-5.41)
GLU like neurons 17,1247,0.179,76.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,204,0.271,78.0,2,0,0.0,NA,2,100.0,1.89 (-1.31-5.09)
GABA neurons expressing GABA receptors 13,238,0.228,76.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,450,0.309,69.0,74,15,20.27,4.70 (3.77-5.63),59,79.73,5.69 (5.04-6.33)
oligodendrocytes 20,676,0.593,88.0,110,23,20.91,4.60 (3.79-5.40),87,79.09,5.08 (4.56-5.59)
GABA like neurons 14,1300,0.13,17.0,306,33,10.78,3.92 (2.99-4.85),273,89.22,5.24 (4.97-5.51)
astrocytes 8,771,0.214,69.0,48,4,8.33,5.69 (5.36-6.03),44,91.67,4.32 (3.52-5.13)
oligodendrocyte progenitor cells 12,708,0.254,82.0,32,13,40.62,1.88 (1.06-2.70),19,59.38,4.27 (3.24-5.30)
oligodendrocytes 10,236,0.434,35.0,82,8,9.76,5.41 (4.81-6.01),74,90.24,4.97 (4.41-5.52)
connective tissue cells 21,136,0.261,38.0,3,1,33.33,NA,2,66.67,0.26 (NA-NA)
astrocytes 15,1401,0.055,21.0,96,21,21.88,4.30 (3.54-5.06),75,78.12,3.42 (2.90-3.95)
oligodendrocytes 16,287,0.368,67.0,105,22,20.95,4.76 (3.81-5.70),83,79.05,5.14 (4.63-5.65)
da neurons 6,553,0.288,96.0,124,7,5.65,3.68 (2.06-5.31),117,94.35,4.21 (3.81-4.62)
astrocytes microglia 23,190,0.201,9.0,7,1,14.29,5.39 (NA-NA),6,85.71,4.73 (3.43-6.03)
astrocytes 4,157,0.124,11.0,178,45,25.28,3.13 (2.65-3.62),133,74.72,4.51 (4.21-4.80)
oligodendrocytes 0,261,0.281,93.0,42,20,47.62,4.13 (3.21-5.05),22,52.38,4.01 (2.98-5.03)
microglia 1,346,0.158,57.0,43,2,4.65,3.95 (2.83-5.06),41,95.35,3.76 (3.22-4.29)
oligodendrocytes 3,116,0.252,31.0,7,1,14.29,6.20 (NA-NA),6,85.71,3.09 (0.52-5.67)
oligodendrocytes 2,237,0.273,73.0,26,1,3.85,6.67 (NA-NA),25,96.15,5.06 (4.07-6.04)
