tipo_celular,module_size,UHMK1_MM,UHMK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,159,0.243,69.0,18,1,5.56,4.08 (NA-NA),17,94.44,1.92 (1.48-2.35)
T cells 18,393,0.142,43.0,59,2,3.39,4.04 (4.00-4.08),57,96.61,3.07 (2.55-3.59)
astrocytes 5,228,0.137,29.0,266,42,15.79,3.46 (2.86-4.06),224,84.21,4.28 (4.07-4.49)
oligodendrocyte progenitor cells 7,296,0.177,49.0,251,2,0.8,3.47 (2.28-4.67),249,99.2,4.07 (3.83-4.31)
GABA neurons expressing GLU receptors 22,400,0.092,3.0,24,12,50.0,1.70 (0.93-2.48),12,50.0,2.61 (2.03-3.19)
GLU like neurons 17,1316,0.192,91.0,101,4,3.96,3.16 (2.46-3.86),97,96.04,3.05 (2.68-3.41)
da like neurons 11,1220,0.259,73.0,410,33,8.05,3.79 (3.19-4.40),377,91.95,4.30 (4.10-4.50)
GABA neurons expressing GABA receptors 13,238,0.159,47.0,36,1,2.78,5.10 (NA-NA),35,97.22,3.84 (3.30-4.37)
endothelial cells 9,338,0.154,60.0,191,1,0.52,2.06 (NA-NA),190,99.48,3.90 (3.67-4.12)
oligodendrocytes 20,250,0.135,26.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,2402,0.308,67.0,455,50,10.99,3.36 (2.72-4.00),405,89.01,4.51 (4.32-4.69)
astrocytes 8,520,0.185,68.0,288,29,10.07,3.97 (3.34-4.61),259,89.93,4.20 (3.99-4.41)
oligodendrocyte progenitor cells 12,3303,0.069,37.0,276,64,23.19,2.67 (2.39-2.95),212,76.81,3.91 (3.64-4.17)
oligodendrocytes 10,806,0.31,81.0,261,27,10.34,4.24 (3.51-4.98),234,89.66,4.38 (4.12-4.64)
connective tissue cells 21,118,0.294,48.0,2,0,0.0,NA,2,100.0,6.60 (NA-NA)
astrocytes 15,1768,0.095,57.0,105,33,31.43,2.50 (1.91-3.10),72,68.57,3.53 (3.15-3.91)
oligodendrocytes 16,313,0.225,54.0,291,33,11.34,3.40 (2.92-3.87),258,88.66,4.48 (4.24-4.73)
da neurons 6,553,0.362,99.0,124,8,6.45,3.24 (2.30-4.19),116,93.55,4.28 (3.86-4.69)
astrocytes microglia 23,67,0.339,63.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,157,0.166,38.0,178,24,13.48,3.10 (2.25-3.95),154,86.52,4.35 (4.09-4.62)
oligodendrocytes 0,2078,0.121,65.0,238,20,8.4,3.03 (2.48-3.59),218,91.6,3.70 (3.46-3.93)
microglia 1,214,0.137,30.0,227,10,4.41,4.48 (3.24-5.71),217,95.59,4.07 (3.83-4.31)
oligodendrocytes 3,457,0.152,66.0,345,39,11.3,3.56 (3.08-4.04),306,88.7,4.40 (4.17-4.63)
oligodendrocytes 2,528,0.162,25.0,175,12,6.86,4.38 (3.19-5.57),163,93.14,4.38 (4.01-4.74)
