tipo_celular,module_size,TKT_MM,TKT_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181,0.171,27.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,282,0.115,27.0,241,16,6.64,4.12 (3.42-4.82),225,93.36,4.05 (3.78-4.32)
astrocytes 5,328,0.151,43.0,128,0,0.0,NA,128,100.0,3.57 (3.23-3.91)
oligodendrocyte progenitor cells 7,628,0.18,59.0,164,8,4.88,3.49 (2.84-4.14),156,95.12,4.13 (3.78-4.47)
GABA neurons expressing GLU receptors 22,848,0.273,70.0,262,25,9.54,2.86 (2.28-3.45),237,90.46,4.32 (4.07-4.58)
GLU like neurons 17,1316,0.164,80.0,101,1,0.99,2.53 (NA-NA),100,99.01,3.06 (2.70-3.41)
da like neurons 11,1220,0.285,78.0,410,29,7.07,3.37 (3.01-3.73),381,92.93,4.33 (4.13-4.53)
GABA neurons expressing GABA receptors 13,265,0.137,38.0,78,4,5.13,3.77 (3.66-3.88),74,94.87,4.40 (3.96-4.84)
endothelial cells 9,916,0.151,32.0,302,21,6.95,3.33 (2.87-3.78),281,93.05,4.05 (3.81-4.29)
oligodendrocytes 20,938,0.24,89.0,169,21,12.43,3.03 (2.41-3.65),148,87.57,3.54 (3.31-3.78)
GABA like neurons 14,2402,0.5,88.0,455,41,9.01,2.56 (2.11-3.01),414,90.99,4.57 (4.38-4.76)
astrocytes 8,603,0.153,82.0,89,4,4.49,1.08 (0.85-1.31),85,95.51,2.87 (2.51-3.23)
oligodendrocyte progenitor cells 12,1049,0.158,77.0,235,16,6.81,3.57 (3.13-4.01),219,93.19,3.84 (3.59-4.09)
oligodendrocytes 10,735,0.276,98.0,277,9,3.25,3.82 (3.71-3.92),268,96.75,3.90 (3.64-4.15)
connective tissue cells 21,301,0.308,31.0,158,4,2.53,2.30 (0.30-4.29),154,97.47,4.33 (3.96-4.70)
astrocytes 15,1768,0.099,62.0,105,20,19.05,2.07 (1.56-2.57),85,80.95,3.49 (3.12-3.86)
oligodendrocytes 16,91,0.205,49.0,5,0,0.0,NA,5,100.0,1.75 (0.02-3.49)
da neurons 6,409,0.274,91.0,235,24,10.21,3.43 (2.75-4.10),211,89.79,4.07 (3.80-4.33)
astrocytes microglia 23,157,0.295,43.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,208,0.208,55.0,173,3,1.73,NA,170,98.27,3.80 (3.50-4.10)
oligodendrocytes 0,546,0.237,76.0,252,37,14.68,2.38 (1.90-2.86),215,85.32,4.45 (4.20-4.70)
microglia 1,406,0.159,42.0,278,0,0.0,NA,278,100.0,4.36 (4.09-4.63)
oligodendrocytes 3,457,0.122,55.0,345,15,4.35,2.78 (2.19-3.36),330,95.65,4.34 (4.13-4.56)
oligodendrocytes 2,526,0.441,88.0,213,9,4.23,3.79 (3.64-3.95),204,95.77,3.99 (3.70-4.28)
