tipo_celular,module_size,CRELD1_MM,CRELD1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395.0,0.103,13.0,97,0,0.0,NA,97,100.0,3.06 (2.66-3.45)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.1,37.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285.0,0.125,34.0,353,2,0.57,1.25 (-0.12-2.62),351,99.43,3.91 (3.72-4.09)
GABA neurons expressing GLU receptors 22,823.0,0.132,21.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,637.0,0.098,20.0,91,4,4.4,2.85 (2.11-3.59),87,95.6,4.64 (4.10-5.19)
da like neurons 11,289.0,0.104,16.0,6,0,0.0,NA,6,100.0,2.89 (2.54-3.24)
GABA neurons expressing GABA receptors 13,357.0,0.106,19.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,916.0,0.057,2.0,302,1,0.33,2.97 (NA-NA),301,99.67,3.99 (3.76-4.21)
oligodendrocytes 20,938.0,0.168,69.0,169,2,1.18,1.76 (-0.61-4.13),167,98.82,3.51 (3.29-3.72)
GABA like neurons 14,2090.0,0.226,89.0,74,0,0.0,NA,74,100.0,2.94 (2.57-3.32)
astrocytes 8,354.0,0.144,64.0,8,0,0.0,NA,8,100.0,0.78 (0.08-1.47)
oligodendrocyte progenitor cells 12,1049.0,0.053,19.0,235,1,0.43,2.97 (NA-NA),234,99.57,3.83 (3.59-4.06)
oligodendrocytes 10,806.0,0.042,5.0,261,0,0.0,NA,261,100.0,4.36 (4.12-4.61)
connective tissue cells 21,102.0,0.263,37.0,5,0,0.0,NA,5,100.0,1.38 (1.02-1.75)
astrocytes 15,1768.0,0.072,35.0,105,2,1.9,1.25 (-0.12-2.62),103,98.1,3.25 (2.92-3.59)
oligodendrocytes 16,123.0,0.233,67.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,409.0,0.067,9.0,235,0,0.0,NA,235,100.0,3.97 (3.72-4.22)
astrocytes microglia 23,127.0,0.35,75.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,721.0,0.195,99.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078.0,0.073,2.0,238,0,0.0,NA,238,100.0,3.64 (3.42-3.86)
microglia 1,813.0,0.148,78.0,79,0,0.0,NA,79,100.0,3.10 (2.70-3.50)
oligodendrocytes 3,681.0,0.068,23.0,87,2,2.3,1.25 (-0.12-2.62),85,97.7,2.62 (2.34-2.89)
oligodendrocytes 2,1630.0,0.131,29.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
