tipo_celular,module_size,ARL8B_MM,ARL8B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.163,36.0,102,7,6.86,3.21 (1.62-4.81),95,93.14,3.52 (3.15-3.89)
T cells 18,393,0.107,17.0,59,7,11.86,4.23 (3.17-5.29),52,88.14,2.99 (2.46-3.52)
astrocytes 5,1141,0.123,37.0,166,13,7.83,2.06 (1.39-2.73),153,92.17,3.53 (3.27-3.79)
oligodendrocyte progenitor cells 7,4285,0.142,60.0,353,48,13.6,2.78 (2.29-3.27),305,86.4,4.13 (3.94-4.31)
GABA neurons expressing GLU receptors 22,714,0.15,31.0,17,2,11.76,2.07 (2.05-2.09),15,88.24,2.34 (1.67-3.00)
GLU like neurons 17,380,0.145,31.0,39,5,12.82,4.25 (1.81-6.68),34,87.18,2.76 (2.26-3.25)
da like neurons 11,1220,0.146,36.0,410,54,13.17,3.64 (3.19-4.09),356,86.83,4.33 (4.13-4.54)
GABA neurons expressing GABA receptors 13,65,0.129,27.0,2,0,0.0,NA,2,100.0,4.02 (3.45-4.59)
endothelial cells 9,1653,0.071,8.0,297,5,1.68,4.06 (2.48-5.65),292,98.32,3.66 (3.46-3.87)
oligodendrocytes 20,358,0.129,39.0,31,1,3.23,3.24 (NA-NA),30,96.77,2.33 (1.89-2.77)
GABA like neurons 14,2402,0.27,60.0,455,55,12.09,3.10 (2.56-3.65),400,87.91,4.51 (4.32-4.70)
astrocytes 8,520,0.096,39.0,288,55,19.1,3.87 (3.44-4.30),233,80.9,4.24 (4.02-4.47)
oligodendrocyte progenitor cells 12,3303,0.097,72.0,276,34,12.32,2.99 (2.55-3.43),242,87.68,3.64 (3.40-3.88)
oligodendrocytes 10,735,0.141,72.0,277,5,1.81,6.03 (5.93-6.13),272,98.19,3.87 (3.63-4.11)
connective tissue cells 21,111,0.237,23.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401,0.067,32.0,96,8,8.33,2.89 (2.02-3.77),88,91.67,3.69 (3.21-4.18)
oligodendrocytes 16,81,0.188,42.0,11,0,0.0,NA,11,100.0,1.43 (0.65-2.21)
da neurons 6,307,0.097,29.0,95,6,6.32,5.35 (4.16-6.53),89,93.68,4.80 (4.34-5.27)
astrocytes microglia 23,70,0.328,45.0,1,0,0.0,NA,1,100.0,8.28 (NA-NA)
astrocytes 4,787,0.155,57.0,65,1,1.54,2.85 (NA-NA),64,98.46,2.96 (2.56-3.37)
oligodendrocytes 0,1186,0.137,37.0,300,6,2.0,3.18 (2.57-3.80),294,98.0,3.81 (3.60-4.02)
microglia 1,480,0.204,57.0,163,5,3.07,3.58 (2.56-4.60),158,96.93,3.71 (3.44-3.98)
oligodendrocytes 3,743,0.079,45.0,76,1,1.32,NA,75,98.68,3.16 (2.77-3.55)
oligodendrocytes 2,528,0.152,20.0,175,30,17.14,4.14 (3.50-4.78),145,82.86,4.43 (4.03-4.83)
