tipo_celular,module_size,PDS5B_MM,PDS5B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,181,0.138,13.0,8,0,0.0,NA,8,100.0,1.27 (0.48-2.07)
T cells 18,727,0.202,89.0,49,0,0.0,NA,49,100.0,2.43 (2.03-2.82)
astrocytes 5,1141,0.119,32.0,166,17,10.24,2.31 (1.57-3.05),149,89.76,3.53 (3.27-3.79)
oligodendrocyte progenitor cells 7,448,0.149,56.0,108,0,0.0,NA,108,100.0,3.26 (2.82-3.69)
GABA neurons expressing GLU receptors 22,1069,0.241,91.0,37,1,2.7,2.74 (NA-NA),36,97.3,2.14 (1.67-2.60)
GLU like neurons 17,637,0.085,15.0,91,13,14.29,1.31 (0.73-1.88),78,85.71,5.31 (4.89-5.74)
da like neurons 11,142,0.099,15.0,2,0,0.0,NA,2,100.0,4.56 (NA-NA)
GABA neurons expressing GABA receptors 13,93,0.175,64.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,1653,0.179,83.0,297,7,2.36,3.70 (2.49-4.91),290,97.64,3.67 (3.47-3.88)
oligodendrocytes 20,330,0.208,61.0,36,3,8.33,2.29 (2.29-2.29),33,91.67,1.88 (1.51-2.26)
GABA like neurons 14,1300,0.176,35.0,306,9,2.94,1.62 (0.94-2.30),297,97.06,5.25 (5.00-5.50)
astrocytes 8,218,0.269,92.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,103,0.47,63.0,9,0,0.0,NA,9,100.0,3.60 (1.89-5.31)
oligodendrocytes 10,2107,0.201,69.0,358,35,9.78,1.83 (1.47-2.18),323,90.22,4.17 (3.98-4.36)
connective tissue cells 21,73,0.199,16.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1401,0.056,22.0,96,3,3.12,1.79 (1.36-2.22),93,96.88,3.68 (3.23-4.14)
oligodendrocytes 16,88,0.151,19.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448,0.149,83.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,59,0.297,47.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,255,0.204,69.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,613,0.197,89.0,127,3,2.36,3.11 (2.57-3.66),124,97.64,3.05 (2.62-3.48)
microglia 1,958,0.131,78.0,290,11,3.79,2.25 (1.27-3.23),279,96.21,3.89 (3.66-4.12)
oligodendrocytes 3,681,0.188,95.0,87,17,19.54,2.03 (1.58-2.48),70,80.46,2.73 (2.42-3.05)
oligodendrocytes 2,921,0.187,97.0,200,1,0.5,3.91 (NA-NA),199,99.5,3.62 (3.35-3.89)
