tipo_celular,module_size,PTS_MM,PTS_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.11,15.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,1656.0,0.143,89.0,136,1,0.74,1.32 (NA-NA),135,99.26,3.22 (2.95-3.50)
oligodendrocyte progenitor cells 7,4285.0,0.121,28.0,353,15,4.25,1.11 (0.63-1.60),338,95.75,4.05 (3.87-4.23)
GABA neurons expressing GLU receptors 22,714.0,0.272,87.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,637.0,0.066,7.0,91,13,14.29,1.89 (0.87-2.91),78,85.71,5.17 (4.71-5.64)
da like neurons 11,1220.0,0.073,4.0,410,3,0.73,1.93 (0.30-3.56),407,99.27,4.27 (4.08-4.46)
GABA neurons expressing GABA receptors 13,288.0,0.103,11.0,93,6,6.45,4.17 (3.10-5.24),87,93.55,5.24 (4.71-5.76)
endothelial cells 9,412.0,0.041,0.0,141,0,0.0,NA,141,100.0,2.96 (2.72-3.20)
oligodendrocytes 20,228.0,0.285,78.0,5,3,60.0,1.91 (0.06-3.75),2,40.0,5.27 (2.10-8.45)
GABA like neurons 14,2402.0,0.308,67.0,455,11,2.42,0.77 (0.50-1.05),444,97.58,4.47 (4.29-4.64)
astrocytes 8,520.0,0.081,32.0,288,2,0.69,1.18 (-0.06-2.43),286,99.31,4.20 (4.00-4.40)
oligodendrocyte progenitor cells 12,153.0,0.048,10.0,27,1,3.7,0.95 (NA-NA),26,96.3,5.08 (4.23-5.92)
oligodendrocytes 10,735.0,0.056,16.0,277,2,0.72,3.42 (NA-NA),275,99.28,3.90 (3.65-4.14)
connective tissue cells 21,78.0,0.101,0.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,1768.0,0.05,14.0,105,8,7.62,1.27 (0.72-1.81),97,92.38,3.39 (3.05-3.73)
oligodendrocytes 16,71.0,0.136,23.0,1,1,100.0,3.52 (NA-NA),0,0.0,NA
da neurons 6,729.0,0.182,65.0,182,1,0.55,1.32 (NA-NA),181,99.45,3.65 (3.40-3.90)
astrocytes microglia 23,39.0,0.362,64.0,3,0,0.0,NA,3,100.0,7.74 (6.69-8.80)
astrocytes 4,1807.0,0.125,18.0,104,8,7.69,1.11 (0.56-1.65),96,92.31,3.02 (2.74-3.30)
oligodendrocytes 0,2078.0,0.085,6.0,238,2,0.84,1.37 (-0.91-3.64),236,99.16,3.66 (3.44-3.88)
microglia 1,958.0,0.059,1.0,290,0,0.0,NA,290,100.0,3.81 (3.58-4.04)
oligodendrocytes 3,639.0,0.059,16.0,15,5,33.33,0.91 (0.08-1.73),10,66.67,4.82 (3.51-6.13)
oligodendrocytes 2,526.0,0.079,3.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
