tipo_celular,module_size,SYT1_MM,SYT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.547,100.0,140,15,10.71,3.80 (2.86-4.74),125,89.29,4.60 (4.14-5.05)
T cells 18,282,0.645,100.0,241,4,1.66,2.85 (1.84-3.86),237,98.34,4.08 (3.82-4.33)
astrocytes 5,228,0.553,100.0,266,44,16.54,3.25 (2.67-3.84),222,83.46,4.32 (4.11-4.53)
oligodendrocyte progenitor cells 7,296,0.6,100.0,251,5,1.99,5.19 (5.14-5.23),246,98.01,4.05 (3.81-4.29)
GABA neurons expressing GLU receptors 22,848,0.399,91.0,262,68,25.95,4.72 (4.21-5.23),194,74.05,3.94 (3.67-4.21)
GLU like neurons 17,795,0.483,99.0,80,10,12.5,4.83 (2.96-6.69),70,87.5,5.78 (5.38-6.19)
da like neurons 11,191,0.429,79.0,93,40,43.01,5.37 (4.78-5.95),53,56.99,5.95 (5.41-6.49)
GABA neurons expressing GABA receptors 13,265,0.368,96.0,78,34,43.59,4.37 (3.82-4.93),44,56.41,4.35 (3.75-4.94)
endothelial cells 9,338,0.575,100.0,191,9,4.71,3.97 (2.95-5.00),182,95.29,3.88 (3.65-4.11)
oligodendrocytes 20,676,0.059,27.0,110,33,30.0,4.50 (3.72-5.29),77,70.0,5.31 (4.80-5.83)
GABA like neurons 14,2402,0.204,43.0,455,30,6.59,3.04 (2.31-3.77),425,93.41,4.45 (4.27-4.64)
astrocytes 8,520,0.627,100.0,288,42,14.58,4.09 (3.57-4.61),246,85.42,4.19 (3.97-4.40)
oligodendrocyte progenitor cells 12,3303,0.186,100.0,276,15,5.43,2.74 (1.89-3.60),261,94.57,3.60 (3.38-3.83)
oligodendrocytes 10,806,0.784,100.0,261,44,16.86,4.53 (3.87-5.20),217,83.14,4.33 (4.07-4.59)
connective tissue cells 21,101,0.6,97.0,116,20,17.24,3.78 (2.79-4.76),96,82.76,4.83 (4.38-5.27)
astrocytes 15,261,0.284,94.0,8,4,50.0,1.64 (-0.94-4.21),4,50.0,5.21 (3.18-7.24)
oligodendrocytes 16,313,0.65,100.0,291,29,9.97,3.51 (2.88-4.14),262,90.03,4.43 (4.19-4.67)
da neurons 6,300,0.372,96.0,159,17,10.69,6.30 (5.83-6.77),142,89.31,4.14 (3.82-4.45)
astrocytes microglia 23,70,0.581,98.0,76,3,3.95,NA,73,96.05,4.20 (3.69-4.72)
astrocytes 4,157,0.518,98.0,178,30,16.85,2.96 (2.21-3.71),148,83.15,4.42 (4.16-4.68)
oligodendrocytes 0,116,0.44,93.0,169,8,4.73,4.23 (2.61-5.86),161,95.27,4.28 (3.97-4.58)
microglia 1,214,0.576,100.0,227,20,8.81,4.19 (3.45-4.92),207,91.19,4.08 (3.83-4.33)
oligodendrocytes 3,457,0.57,100.0,345,33,9.57,3.26 (2.78-3.73),312,90.43,4.40 (4.18-4.62)
oligodendrocytes 2,99,0.525,93.0,116,5,4.31,5.78 (5.38-6.17),111,95.69,3.91 (3.61-4.21)
