tipo_celular,module_size,TM9SF2_MM,TM9SF2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.142,14.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,477,0.113,18.0,43,0,0.0,NA,43,100.0,2.03 (1.52-2.53)
astrocytes 5,1656,0.124,64.0,136,5,3.68,2.76 (1.12-4.40),131,96.32,3.23 (2.95-3.50)
oligodendrocyte progenitor cells 7,4285,0.135,50.0,353,26,7.37,1.74 (1.31-2.17),327,92.63,4.12 (3.94-4.30)
GABA neurons expressing GLU receptors 22,703,0.131,20.0,23,0,0.0,NA,23,100.0,2.09 (1.38-2.80)
GLU like neurons 17,1316,0.151,73.0,101,1,0.99,3.38 (NA-NA),100,99.01,3.05 (2.69-3.40)
da like neurons 11,1220,0.09,11.0,410,20,4.88,3.52 (3.07-3.96),390,95.12,4.29 (4.09-4.48)
GABA neurons expressing GABA receptors 13,265,0.21,73.0,78,5,6.41,3.03 (2.51-3.55),73,93.59,4.48 (4.04-4.91)
endothelial cells 9,559,0.111,30.0,155,0,0.0,NA,155,100.0,4.34 (3.97-4.70)
oligodendrocytes 20,233,0.142,24.0,5,0,0.0,NA,5,100.0,0.63 (-0.10-1.37)
GABA like neurons 14,2402,0.246,54.0,455,30,6.59,2.36 (1.78-2.95),425,93.41,4.51 (4.33-4.70)
astrocytes 8,218,0.118,58.0,9,0,0.0,NA,9,100.0,2.12 (1.21-3.03)
oligodendrocyte progenitor cells 12,3303,0.091,66.0,276,18,6.52,1.91 (1.49-2.33),258,93.48,3.69 (3.47-3.92)
oligodendrocytes 10,483,0.07,23.0,129,3,2.33,4.06 (3.86-4.26),126,97.67,3.41 (3.01-3.81)
connective tissue cells 21,106,0.261,31.0,9,1,11.11,0.26 (NA-NA),8,88.89,4.64 (2.19-7.09)
astrocytes 15,1401,0.063,28.0,96,3,3.12,2.52 (1.35-3.70),93,96.88,3.66 (3.19-4.12)
oligodendrocytes 16,90,0.197,41.0,2,0,0.0,NA,2,100.0,1.33 (0.57-2.09)
da neurons 6,518,0.115,56.0,122,26,21.31,2.64 (1.84-3.45),96,78.69,4.33 (3.92-4.75)
astrocytes microglia 23,110,0.22,5.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.164,84.0,104,12,11.54,2.02 (1.08-2.95),92,88.46,2.98 (2.70-3.27)
oligodendrocytes 0,2078,0.126,74.0,238,3,1.26,1.84 (0.07-3.60),235,98.74,3.66 (3.44-3.88)
microglia 1,1615,0.11,51.0,161,19,11.8,1.31 (0.91-1.71),142,88.2,3.60 (3.34-3.86)
oligodendrocytes 3,743,0.083,52.0,76,0,0.0,NA,76,100.0,3.16 (2.77-3.55)
oligodendrocytes 2,921,0.143,62.0,200,4,2.0,1.88 (1.49-2.26),196,98.0,3.67 (3.40-3.93)
