tipo_celular,module_size,UBE2L3_MM,UBE2L3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,206,0.225,60.0,10,0,0.0,NA,10,100.0,1.83 (0.82-2.85)
T cells 18,282,0.052,3.0,241,2,0.83,5.51 (2.79-8.23),239,99.17,4.04 (3.79-4.29)
astrocytes 5,932,0.1,38.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,628,0.114,13.0,164,4,2.44,5.48 (4.78-6.18),160,97.56,4.05 (3.72-4.38)
GABA neurons expressing GLU receptors 22,848,0.127,14.0,262,33,12.6,3.85 (3.22-4.48),229,87.4,4.22 (3.95-4.48)
GLU like neurons 17,229,0.229,70.0,22,1,4.55,3.78 (NA-NA),21,95.45,2.46 (1.83-3.09)
da like neurons 11,1220,0.096,14.0,410,38,9.27,3.99 (3.41-4.58),372,90.73,4.28 (4.08-4.48)
GABA neurons expressing GABA receptors 13,67,0.193,61.0,21,0,0.0,NA,21,100.0,2.46 (1.84-3.08)
endothelial cells 9,916,0.121,21.0,302,3,0.99,1.85 (-1.38-5.08),299,99.01,4.00 (3.77-4.23)
oligodendrocytes 20,275,0.082,10.0,17,0,0.0,NA,17,100.0,1.72 (1.15-2.29)
GABA like neurons 14,2402,0.113,12.0,455,62,13.63,3.32 (2.82-3.82),393,86.37,4.56 (4.37-4.75)
astrocytes 8,1266,0.088,58.0,66,22,33.33,2.24 (1.61-2.88),44,66.67,3.80 (3.34-4.26)
oligodendrocyte progenitor cells 12,1049,0.096,52.0,235,5,2.13,5.48 (4.78-6.18),230,97.87,3.80 (3.56-4.03)
oligodendrocytes 10,735,0.188,85.0,277,7,2.53,6.32 (5.63-7.02),270,97.47,3.81 (3.57-4.05)
connective tissue cells 21,85,0.27,33.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75)
astrocytes 15,1401,0.061,27.0,96,7,7.29,3.48 (1.89-5.08),89,92.71,3.62 (3.15-4.10)
oligodendrocytes 16,158,0.122,2.0,30,3,10.0,3.03 (0.90-5.17),27,90.0,2.27 (1.59-2.96)
da neurons 6,729,0.087,15.0,182,5,2.75,1.44 (1.34-1.53),177,97.25,3.70 (3.45-3.95)
astrocytes microglia 23,100,0.307,54.0,9,3,33.33,3.09 (2.49-3.70),6,66.67,4.38 (2.98-5.78)
astrocytes 4,721,0.145,38.0,61,4,6.56,4.01 (3.74-4.29),57,93.44,2.89 (2.45-3.32)
oligodendrocytes 0,2078,0.107,34.0,238,31,13.03,3.12 (2.65-3.58),207,86.97,3.71 (3.47-3.96)
microglia 1,958,0.07,3.0,290,37,12.76,3.78 (3.04-4.51),253,87.24,3.82 (3.58-4.06)
oligodendrocytes 3,303,0.064,11.0,154,1,0.65,NA,153,99.35,3.62 (3.30-3.94)
oligodendrocytes 2,528,0.16,24.0,175,8,4.57,3.80 (2.03-5.58),167,95.43,4.41 (4.05-4.77)
