tipo_celular,module_size,PGK1_MM,PGK1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.187,58.0,140,36,25.71,5.28 (4.67-5.90),104,74.29,4.19 (3.67-4.71)
T cells 18,477,0.234,85.0,43,2,4.65,3.39 (3.06-3.72),41,95.35,1.95 (1.43-2.47)
astrocytes 5,228,0.124,25.0,266,34,12.78,3.07 (2.59-3.54),232,87.22,4.29 (4.07-4.51)
oligodendrocyte progenitor cells 7,666,0.194,68.0,127,13,10.24,2.99 (1.83-4.15),114,89.76,3.92 (3.57-4.27)
GABA neurons expressing GLU receptors 22,848,0.297,75.0,262,34,12.98,3.10 (2.65-3.55),228,87.02,4.36 (4.09-4.63)
GLU like neurons 17,685,0.114,38.0,135,19,14.07,1.61 (1.17-2.05),116,85.93,3.43 (3.11-3.75)
da like neurons 11,1220,0.326,85.0,410,39,9.51,3.53 (3.25-3.81),371,90.49,4.34 (4.14-4.55)
GABA neurons expressing GABA receptors 13,357,0.252,82.0,237,14,5.91,3.60 (2.82-4.38),223,94.09,4.47 (4.23-4.71)
endothelial cells 9,559,0.137,42.0,155,5,3.23,5.53 (3.89-7.16),150,96.77,4.28 (3.91-4.65)
oligodendrocytes 20,358,0.036,11.0,31,1,3.23,2.80 (NA-NA),30,96.77,2.34 (1.90-2.79)
GABA like neurons 14,2402,0.444,84.0,455,42,9.23,2.92 (2.47-3.38),413,90.77,4.53 (4.34-4.72)
astrocytes 8,520,0.23,76.0,288,29,10.07,3.50 (3.11-3.89),259,89.93,4.25 (4.03-4.47)
oligodendrocyte progenitor cells 12,3303,0.114,85.0,276,32,11.59,2.55 (2.13-2.96),244,88.41,3.72 (3.48-3.96)
oligodendrocytes 10,735,0.267,97.0,277,11,3.97,4.01 (3.75-4.27),266,96.03,3.89 (3.63-4.14)
connective tissue cells 21,142,0.342,65.0,55,9,16.36,2.64 (1.33-3.95),46,83.64,3.78 (2.73-4.83)
astrocytes 15,443,0.127,32.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,313,0.309,74.0,291,22,7.56,3.47 (2.84-4.10),269,92.44,4.42 (4.18-4.65)
da neurons 6,409,0.341,98.0,235,39,16.6,4.12 (3.62-4.63),196,83.4,3.93 (3.64-4.22)
astrocytes microglia 23,100,0.307,55.0,9,1,11.11,2.53 (NA-NA),8,88.89,4.13 (3.05-5.21)
astrocytes 4,514,0.101,4.0,95,18,18.95,3.25 (2.62-3.88),77,81.05,3.41 (2.89-3.93)
oligodendrocytes 0,116,0.107,21.0,169,7,4.14,3.65 (2.45-4.84),162,95.86,4.31 (4.00-4.61)
microglia 1,214,0.119,20.0,227,29,12.78,4.03 (3.61-4.45),198,87.22,4.10 (3.83-4.37)
oligodendrocytes 3,457,0.21,83.0,345,25,7.25,3.30 (2.75-3.85),320,92.75,4.36 (4.14-4.58)
oligodendrocytes 2,99,0.184,34.0,116,5,4.31,3.53 (3.39-3.67),111,95.69,3.98 (3.66-4.29)
