tipo_celular,module_size,LARP4B_MM,LARP4B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.108,14.0,97,4,4.12,5.22 (4.99-5.45),93,95.88,3.00 (2.60-3.39)
T cells 18,610,0.115,21.0,98,30,30.61,1.83 (1.43-2.24),68,69.39,3.78 (3.47-4.10)
astrocytes 5,1141,0.135,56.0,166,46,27.71,2.84 (2.38-3.29),120,72.29,3.66 (3.37-3.95)
oligodendrocyte progenitor cells 7,4285,0.157,82.0,353,65,18.41,2.66 (2.24-3.09),288,81.59,4.24 (4.06-4.43)
GABA neurons expressing GLU receptors 22,823,0.192,58.0,23,2,8.7,2.03 (0.03-4.04),21,91.3,2.44 (1.65-3.24)
GLU like neurons 17,300,0.262,91.0,16,5,31.25,2.46 (2.14-2.78),11,68.75,1.93 (0.74-3.12)
da like neurons 11,82,0.32,70.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,238,0.128,28.0,36,1,2.78,5.10 (NA-NA),35,97.22,3.84 (3.30-4.37)
endothelial cells 9,1653,0.173,80.0,297,2,0.67,5.91 (4.78-7.04),295,99.33,3.65 (3.45-3.86)
oligodendrocytes 20,295,0.173,44.0,28,3,10.71,3.35 (1.47-5.23),25,89.29,2.04 (1.60-2.48)
GABA like neurons 14,2090,0.137,38.0,74,6,8.11,1.86 (1.58-2.15),68,91.89,3.05 (2.65-3.46)
astrocytes 8,1266,0.083,51.0,66,18,27.27,1.77 (1.21-2.33),48,72.73,3.90 (3.48-4.31)
oligodendrocyte progenitor cells 12,3303,0.066,34.0,276,48,17.39,2.46 (2.04-2.87),228,82.61,3.85 (3.61-4.08)
oligodendrocytes 10,2107,0.324,92.0,358,74,20.67,2.64 (2.25-3.02),284,79.33,4.31 (4.12-4.50)
connective tissue cells 21,93,0.24,29.0,1,0,0.0,NA,1,100.0,0.26 (NA-NA)
astrocytes 15,1768,0.098,61.0,105,30,28.57,2.61 (1.98-3.23),75,71.43,3.46 (3.07-3.84)
oligodendrocytes 16,155,0.204,41.0,8,2,25.0,0.47 (0.34-0.61),6,75.0,4.21 (0.18-8.24)
da neurons 6,553,0.086,18.0,124,1,0.81,0.40 (NA-NA),123,99.19,4.23 (3.84-4.61)
astrocytes microglia 23,253,0.37,99.0,47,9,19.15,2.51 (1.73-3.28),38,80.85,2.91 (2.55-3.28)
astrocytes 4,721,0.132,16.0,61,2,3.28,4.77 (1.41-8.14),59,96.72,2.90 (2.49-3.31)
oligodendrocytes 0,1186,0.139,38.0,300,7,2.33,3.96 (2.96-4.97),293,97.67,3.79 (3.58-4.00)
microglia 1,958,0.119,63.0,290,31,10.69,3.85 (3.11-4.58),259,89.31,3.81 (3.57-4.05)
oligodendrocytes 3,854,0.088,47.0,76,3,3.95,1.00 (0.20-1.79),73,96.05,2.86 (2.53-3.19)
oligodendrocytes 2,804,0.127,20.0,84,4,4.76,1.39 (-0.08-2.86),80,95.24,2.77 (2.43-3.11)
