tipo_celular,module_size,CNBP_MM,CNBP_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.194,46.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,518,0.137,36.0,131,3,2.29,3.32 (2.27-4.37),128,97.71,3.07 (2.79-3.35)
astrocytes 5,1656,0.112,44.0,136,9,6.62,2.21 (1.34-3.08),127,93.38,3.29 (3.01-3.57)
oligodendrocyte progenitor cells 7,4285,0.16,85.0,353,56,15.86,2.24 (1.92-2.55),297,84.14,4.31 (4.13-4.49)
GABA neurons expressing GLU receptors 22,487,0.18,34.0,73,5,6.85,1.89 (0.99-2.80),68,93.15,2.83 (2.42-3.23)
GLU like neurons 17,685,0.025,1.0,135,36,26.67,2.47 (2.06-2.88),99,73.33,3.52 (3.14-3.91)
da like neurons 11,1220,0.118,23.0,410,11,2.68,3.20 (2.38-4.02),399,97.32,4.29 (4.10-4.48)
GABA neurons expressing GABA receptors 13,77,0.141,29.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,916,0.154,34.0,302,3,0.99,2.06 (0.05-4.07),299,99.01,4.01 (3.78-4.23)
oligodendrocytes 20,271,0.135,30.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402,0.168,30.0,455,27,5.93,2.29 (1.53-3.06),428,94.07,4.52 (4.34-4.70)
astrocytes 8,520,0.074,27.0,288,7,2.43,2.61 (1.74-3.48),281,97.57,4.22 (4.02-4.42)
oligodendrocyte progenitor cells 12,3303,0.073,43.0,276,43,15.58,2.16 (1.88-2.44),233,84.42,3.89 (3.65-4.12)
oligodendrocytes 10,483,0.115,49.0,129,5,3.88,4.27 (2.23-6.30),124,96.12,3.38 (2.99-3.78)
connective tissue cells 21,139,0.295,43.0,4,2,50.0,3.97 (1.29-6.65),2,50.0,3.06 (2.16-3.96)
astrocytes 15,443,0.028,1.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,51,0.211,28.0,1,0,0.0,NA,1,100.0,3.22 (NA-NA)
da neurons 6,448,0.061,5.0,43,5,11.63,3.90 (3.68-4.13),38,88.37,3.18 (2.58-3.78)
astrocytes microglia 23,157,0.259,22.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807,0.144,48.0,104,21,20.19,1.73 (1.24-2.22),83,79.81,3.18 (2.88-3.48)
oligodendrocytes 0,613,0.142,50.0,127,17,13.39,2.96 (2.05-3.86),110,86.61,3.08 (2.61-3.55)
microglia 1,958,0.12,63.0,290,19,6.55,3.24 (2.52-3.95),271,93.45,3.86 (3.62-4.10)
oligodendrocytes 3,457,0.094,37.0,345,7,2.03,3.49 (2.84-4.14),338,97.97,4.30 (4.08-4.51)
oligodendrocytes 2,528,0.209,55.0,175,5,2.86,3.11 (1.83-4.38),170,97.14,4.44 (4.08-4.79)
