tipo_celular,module_size,DOCK4_MM,DOCK4_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.231,68.0,102,12,11.76,1.85 (1.26-2.43),90,88.24,3.69 (3.31-4.07)
T cells 18,349,0.39,88.0,68,11,16.18,2.97 (1.78-4.16),57,83.82,4.66 (4.07-5.26)
astrocytes 5,322,0.154,43.0,58,10,17.24,3.48 (2.47-4.49),48,82.76,4.35 (3.90-4.81)
oligodendrocyte progenitor cells 7,229,0.19,49.0,45,7,15.56,5.24 (4.85-5.63),38,84.44,4.95 (4.18-5.71)
GABA neurons expressing GLU receptors 22,567,0.085,5.0,16,1,6.25,1.95 (NA-NA),15,93.75,1.97 (1.25-2.70)
GLU like neurons 17,637,0.37,90.0,91,14,15.38,1.94 (0.92-2.95),77,84.62,5.16 (4.69-5.63)
da like neurons 11,140,0.381,95.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,288,0.443,94.0,93,15,16.13,3.28 (2.38-4.17),78,83.87,5.57 (5.05-6.08)
endothelial cells 9,412,0.265,81.0,141,4,2.84,1.42 (0.39-2.45),137,97.16,3.01 (2.77-3.25)
oligodendrocytes 20,676,0.33,58.0,110,14,12.73,3.47 (2.47-4.46),96,87.27,5.30 (4.83-5.76)
GABA like neurons 14,1300,0.193,43.0,306,30,9.8,3.27 (2.65-3.89),276,90.2,5.36 (5.09-5.62)
astrocytes 8,283,0.409,100.0,0,0,0.0,NA,0,0.0,NA
oligodendrocyte progenitor cells 12,708,0.233,81.0,25,3,12.0,3.51 (0.27-6.75),22,88.0,2.76 (1.72-3.80)
oligodendrocytes 10,1277,0.302,100.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,250,0.332,59.0,117,14,11.97,3.73 (2.94-4.52),103,88.03,5.64 (5.23-6.06)
astrocytes 15,1401,0.08,45.0,96,6,6.25,1.75 (1.51-1.98),90,93.75,3.71 (3.25-4.17)
oligodendrocytes 16,108,0.191,58.0,5,3,60.0,4.63 (3.58-5.68),2,40.0,2.99 (1.95-4.03)
da neurons 6,398,0.415,94.0,138,25,18.12,3.18 (2.46-3.91),113,81.88,5.23 (4.84-5.61)
astrocytes microglia 23,229,0.426,86.0,99,13,13.13,4.96 (4.41-5.51),86,86.87,4.20 (3.83-4.57)
astrocytes 4,171,0.16,43.0,22,0,0.0,NA,22,100.0,4.54 (3.62-5.46)
oligodendrocytes 0,479,0.173,65.0,40,2,5.0,4.80 (4.77-4.83),38,95.0,5.93 (5.39-6.48)
microglia 1,315,0.241,77.0,144,11,7.64,4.19 (2.54-5.85),133,92.36,4.48 (4.17-4.79)
oligodendrocytes 3,1003,0.142,82.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,348,0.323,86.0,114,17,14.91,4.24 (3.71-4.76),97,85.09,5.33 (4.85-5.81)
