tipo_celular,module_size,VAPB_MM,VAPB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,351,0.074,4.0,71,11,15.49,2.82 (1.77-3.87),60,84.51,2.58 (2.13-3.03)
T cells 18,282,0.124,13.0,12,0,0.0,NA,12,100.0,3.30 (2.18-4.42)
astrocytes 5,1656,0.094,19.0,136,13,9.56,3.32 (2.70-3.95),123,90.44,3.19 (2.90-3.49)
oligodendrocyte progenitor cells 7,4285,0.147,68.0,353,46,13.03,2.44 (1.95-2.93),307,86.97,4.17 (3.99-4.35)
GABA neurons expressing GLU receptors 22,848,0.229,57.0,262,21,8.02,2.55 (1.94-3.15),241,91.98,4.32 (4.07-4.57)
GLU like neurons 17,795,0.061,6.0,80,2,2.5,2.53 (2.34-2.73),78,97.5,5.80 (5.40-6.19)
da like neurons 11,1220,0.162,43.0,410,29,7.07,3.68 (3.05-4.30),381,92.93,4.30 (4.10-4.49)
GABA neurons expressing GABA receptors 13,266,0.191,66.0,118,8,6.78,4.19 (2.97-5.42),110,93.22,4.77 (4.40-5.14)
endothelial cells 9,1653,0.102,28.0,297,1,0.34,4.85 (NA-NA),296,99.66,3.67 (3.46-3.87)
oligodendrocytes 20,403,0.133,54.0,18,8,44.44,0.91 (0.38-1.45),10,55.56,2.65 (1.75-3.55)
GABA like neurons 14,3052,0.177,81.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,520,0.094,38.0,288,29,10.07,2.90 (2.51-3.28),259,89.93,4.31 (4.10-4.52)
oligodendrocyte progenitor cells 12,3303,0.085,59.0,276,31,11.23,2.31 (1.87-2.76),245,88.77,3.74 (3.51-3.97)
oligodendrocytes 10,806,0.141,44.0,261,20,7.66,3.31 (2.66-3.97),241,92.34,4.46 (4.21-4.72)
connective tissue cells 21,104,0.333,78.0,3,0,0.0,NA,3,100.0,1.89 (-1.31-5.09)
astrocytes 15,1768,0.086,49.0,105,22,20.95,2.26 (1.74-2.79),83,79.05,3.49 (3.11-3.87)
oligodendrocytes 16,64,0.202,56.0,1,0,0.0,NA,1,100.0,2.12 (NA-NA)
da neurons 6,553,0.114,39.0,124,5,4.03,2.23 (-1.35-5.80),119,95.97,4.23 (3.84-4.62)
astrocytes microglia 23,122,0.328,67.0,5,3,60.0,NA,2,40.0,1.94 (-0.80-4.68)
astrocytes 4,1807,0.145,51.0,104,24,23.08,2.27 (1.73-2.80),80,76.92,3.06 (2.74-3.38)
oligodendrocytes 0,2078,0.12,63.0,238,14,5.88,3.10 (2.36-3.84),224,94.12,3.68 (3.45-3.91)
microglia 1,813,0.099,26.0,79,9,11.39,3.64 (2.87-4.40),70,88.61,3.02 (2.58-3.47)
oligodendrocytes 3,681,0.057,13.0,87,17,19.54,1.48 (1.12-1.84),70,80.46,2.86 (2.57-3.15)
oligodendrocytes 2,921,0.112,13.0,200,9,4.5,2.66 (1.98-3.33),191,95.5,3.68 (3.40-3.95)
