tipo_celular,module_size,GCC2_MM,GCC2_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.149,44.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,518,0.199,76.0,131,0,0.0,NA,131,100.0,3.07 (2.80-3.35)
astrocytes 5,1141,0.153,79.0,166,12,7.23,2.08 (1.16-3.01),154,92.77,3.49 (3.24-3.75)
oligodendrocyte progenitor cells 7,4285,0.128,39.0,353,48,13.6,3.04 (2.52-3.56),305,86.4,4.06 (3.86-4.25)
GABA neurons expressing GLU receptors 22,1069,0.163,48.0,37,0,0.0,NA,37,100.0,2.16 (1.70-2.61)
GLU like neurons 17,1247,0.096,23.0,51,2,3.92,2.04 (1.96-2.12),49,96.08,3.70 (3.11-4.30)
da like neurons 11,120,0.175,25.0,1,0,0.0,NA,1,100.0,NA
GABA neurons expressing GABA receptors 13,200,0.194,75.0,34,1,2.94,3.65 (NA-NA),33,97.06,3.90 (2.98-4.81)
endothelial cells 9,586,0.107,20.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,938,0.117,45.0,169,12,7.1,2.80 (1.90-3.69),157,92.9,3.54 (3.32-3.76)
GABA like neurons 14,2402,0.144,23.0,455,38,8.35,3.36 (2.73-4.00),417,91.65,4.47 (4.28-4.66)
astrocytes 8,520,0.07,24.0,288,32,11.11,3.91 (3.32-4.51),256,88.89,4.21 (4.00-4.42)
oligodendrocyte progenitor cells 12,3303,0.067,35.0,276,32,11.59,3.17 (2.66-3.68),244,88.41,3.61 (3.37-3.84)
oligodendrocytes 10,735,0.088,44.0,277,3,1.08,7.22 (6.16-8.28),274,98.92,3.84 (3.60-4.08)
connective tissue cells 21,118,0.229,18.0,4,0,0.0,NA,4,100.0,1.60 (-1.03-4.24)
astrocytes 15,1768,0.048,12.0,105,18,17.14,2.55 (1.96-3.13),87,82.86,3.36 (2.98-3.75)
oligodendrocytes 16,85,0.152,9.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.16,70.0,124,5,4.03,3.25 (1.38-5.13),119,95.97,4.23 (3.82-4.63)
astrocytes microglia 23,132,0.269,27.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,787,0.153,54.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,1186,0.122,19.0,300,5,1.67,4.16 (2.10-6.22),295,98.33,3.79 (3.58-3.99)
microglia 1,1615,0.113,55.0,161,23,14.29,1.93 (1.38-2.47),138,85.71,3.54 (3.26-3.82)
oligodendrocytes 3,357,0.164,85.0,127,1,0.79,6.89 (NA-NA),126,99.21,3.08 (2.76-3.41)
oligodendrocytes 2,921,0.118,21.0,200,12,6.0,3.67 (3.14-4.21),188,94.0,3.62 (3.33-3.90)
