tipo_celular,module_size,BNIP3L_MM,BNIP3L_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,401,0.21,80.0,19,0,0.0,NA,19,100.0,2.52 (1.81-3.24)
T cells 18,349,0.103,19.0,68,7,10.29,1.51 (1.08-1.95),61,89.71,4.81 (4.28-5.34)
astrocytes 5,932,0.118,63.0,80,0,0.0,NA,80,100.0,3.67 (3.26-4.08)
oligodendrocyte progenitor cells 7,4285,0.128,39.0,353,46,13.03,2.49 (1.97-3.02),307,86.97,4.15 (3.97-4.33)
GABA neurons expressing GLU receptors 22,567,0.103,10.0,16,2,12.5,2.09 (1.81-2.36),14,87.5,1.95 (1.17-2.74)
GLU like neurons 17,1247,0.187,79.0,51,3,5.88,2.04 (1.96-2.12),48,94.12,3.70 (3.11-4.30)
da like neurons 11,197,0.193,48.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,93,0.256,94.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,586,0.169,39.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,250,0.118,22.0,14,0,0.0,NA,14,100.0,1.92 (1.21-2.62)
GABA like neurons 14,1300,0.151,24.0,306,17,5.56,1.81 (1.45-2.16),289,94.44,5.39 (5.14-5.63)
astrocytes 8,771,0.063,20.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,708,0.069,24.0,25,5,20.0,4.40 (1.71-7.08),20,80.0,2.39 (1.49-3.29)
oligodendrocytes 10,1277,0.037,6.0,27,0,0.0,NA,27,100.0,5.41 (4.54-6.27)
connective tissue cells 21,92,0.172,5.0,3,0,0.0,NA,3,100.0,0.61 (-0.07-1.28)
astrocytes 15,1401,0.091,55.0,96,5,5.21,1.99 (1.83-2.14),91,94.79,3.72 (3.25-4.19)
oligodendrocytes 16,113,0.18,50.0,11,0,0.0,NA,11,100.0,1.74 (0.78-2.71)
da neurons 6,448,0.111,61.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,53,0.237,18.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,255,0.129,13.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,613,0.165,70.0,127,9,7.09,2.74 (1.96-3.52),118,92.91,3.08 (2.63-3.53)
microglia 1,1615,0.123,68.0,161,34,21.12,2.64 (1.87-3.41),127,78.88,3.47 (3.23-3.72)
oligodendrocytes 3,681,0.129,76.0,87,24,27.59,2.29 (1.75-2.82),63,72.41,2.70 (2.39-3.01)
oligodendrocytes 2,528,0.129,11.0,175,11,6.29,3.05 (2.31-3.79),164,93.71,4.52 (4.15-4.89)
