tipo_celular,module_size,CYB5B_MM,CYB5B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,360,0.14,27.0,102,4,3.92,1.26 (0.76-1.75),98,96.08,3.60 (3.23-3.96)
T cells 18,610,0.193,76.0,98,11,11.22,0.78 (0.44-1.12),87,88.78,3.45 (3.16-3.74)
astrocytes 5,1141,0.097,11.0,166,5,3.01,0.93 (0.12-1.73),161,96.99,3.48 (3.24-3.73)
oligodendrocyte progenitor cells 7,4285,0.129,41.0,353,19,5.38,1.20 (0.83-1.56),334,94.62,4.09 (3.92-4.27)
GABA neurons expressing GLU receptors 22,599,0.168,29.0,22,0,0.0,NA,22,100.0,2.24 (1.45-3.03)
GLU like neurons 17,1247,0.164,69.0,51,0,0.0,NA,51,100.0,3.62 (3.05-4.20)
da like neurons 11,215,0.108,16.0,9,0,0.0,NA,9,100.0,0.85 (0.17-1.52)
GABA neurons expressing GABA receptors 13,93,0.121,18.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,658,0.072,5.0,120,5,4.17,2.75 (1.92-3.57),115,95.83,4.70 (4.38-5.02)
oligodendrocytes 20,228,0.268,73.0,5,2,40.0,1.10 (-0.55-2.76),3,60.0,4.69 (2.53-6.85)
GABA like neurons 14,3052,0.147,58.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,1266,0.049,13.0,66,6,9.09,0.50 (0.30-0.70),60,90.91,3.55 (3.17-3.93)
oligodendrocyte progenitor cells 12,3303,0.044,10.0,276,10,3.62,1.48 (1.08-1.88),266,96.38,3.64 (3.43-3.86)
oligodendrocytes 10,735,0.038,6.0,277,1,0.36,4.47 (NA-NA),276,99.64,3.89 (3.65-4.13)
connective tissue cells 21,88,0.333,71.0,0,0,0.0,NA,0,0.0,NA
astrocytes 15,367,0.108,27.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,90,0.238,67.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,553,0.076,10.0,124,2,1.61,1.26 (-0.42-2.94),122,98.39,4.25 (3.86-4.64)
astrocytes microglia 23,108,0.322,46.0,2,0,0.0,NA,2,100.0,NA
astrocytes 4,721,0.159,66.0,61,0,0.0,NA,61,100.0,2.97 (2.55-3.38)
oligodendrocytes 0,2078,0.123,68.0,238,2,0.84,1.37 (-0.91-3.64),236,99.16,3.66 (3.44-3.88)
microglia 1,813,0.072,4.0,79,2,2.53,2.30 (1.21-3.40),77,97.47,3.12 (2.71-3.54)
oligodendrocytes 3,854,0.051,7.0,76,2,2.63,0.72 (-0.29-1.73),74,97.37,2.84 (2.51-3.17)
oligodendrocytes 2,1630,0.143,53.0,154,2,1.3,1.97 (1.67-2.26),152,98.7,3.26 (3.00-3.53)
