tipo_celular,module_size,MAP1LC3B_MM,MAP1LC3B_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.281,81.0,140,7,5.0,3.86 (3.32-4.41),133,95.0,4.54 (4.10-4.99)
T cells 18,282,0.166,52.0,241,6,2.49,4.88 (2.83-6.93),235,97.51,4.02 (3.77-4.27)
astrocytes 5,228,0.172,49.0,266,33,12.41,3.04 (2.24-3.85),233,87.59,4.27 (4.07-4.47)
oligodendrocyte progenitor cells 7,296,0.237,72.0,251,6,2.39,5.85 (3.43-8.26),245,97.61,4.02 (3.79-4.26)
GABA neurons expressing GLU receptors 22,714,0.206,62.0,17,0,0.0,NA,17,100.0,2.31 (1.72-2.89)
GLU like neurons 17,1316,0.129,56.0,101,5,4.95,4.94 (2.89-6.98),96,95.05,2.98 (2.63-3.33)
da like neurons 11,1220,0.342,87.0,410,25,6.1,4.06 (3.10-5.01),385,93.9,4.26 (4.07-4.45)
GABA neurons expressing GABA receptors 13,266,0.099,13.0,118,2,1.69,NA,116,98.31,4.74 (4.38-5.09)
endothelial cells 9,916,0.138,28.0,302,7,2.32,2.01 (1.07-2.95),295,97.68,4.05 (3.82-4.27)
oligodendrocytes 20,322,0.126,51.0,10,0,0.0,NA,10,100.0,1.41 (0.38-2.43)
GABA like neurons 14,2402,0.43,82.0,455,30,6.59,2.90 (2.08-3.73),425,93.41,4.47 (4.29-4.65)
astrocytes 8,520,0.21,72.0,288,27,9.38,3.75 (2.96-4.54),261,90.62,4.22 (4.01-4.42)
oligodendrocyte progenitor cells 12,3303,0.065,32.0,276,14,5.07,2.18 (1.56-2.79),262,94.93,3.62 (3.39-3.84)
oligodendrocytes 10,806,0.308,80.0,261,21,8.05,3.55 (2.82-4.27),240,91.95,4.44 (4.18-4.69)
connective tissue cells 21,57,0.347,74.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,458,0.067,31.0,36,4,11.11,4.73 (NA-NA),32,88.89,3.72 (2.59-4.86)
oligodendrocytes 16,74,0.222,70.0,1,0,0.0,NA,1,100.0,3.65 (NA-NA)
da neurons 6,307,0.106,37.0,95,1,1.05,4.08 (NA-NA),94,98.95,4.86 (4.41-5.30)
astrocytes microglia 23,108,0.361,74.0,8,0,0.0,NA,8,100.0,1.12 (0.45-1.80)
astrocytes 4,157,0.154,33.0,178,30,16.85,3.22 (2.29-4.15),148,83.15,4.33 (4.07-4.58)
oligodendrocytes 0,613,0.13,38.0,127,1,0.79,2.80 (NA-NA),126,99.21,3.05 (2.64-3.47)
microglia 1,214,0.183,51.0,227,8,3.52,3.65 (2.82-4.47),219,96.48,4.11 (3.87-4.35)
oligodendrocytes 3,457,0.195,80.0,345,25,7.25,4.22 (3.33-5.11),320,92.75,4.28 (4.06-4.49)
oligodendrocytes 2,528,0.243,71.0,175,11,6.29,3.68 (2.43-4.92),164,93.71,4.43 (4.07-4.79)
