tipo_celular,module_size,HTRA1_MM,HTRA1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305.0,0.262,74.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,328.0,0.086,8.0,128,5,3.91,4.41 (4.23-4.58),123,96.09,3.52 (3.16-3.88)
oligodendrocyte progenitor cells 7,628.0,0.408,98.0,164,4,2.44,3.49 (2.04-4.94),160,97.56,4.11 (3.77-4.44)
GABA neurons expressing GLU receptors 22,599.0,0.224,58.0,22,1,4.55,0.94 (NA-NA),21,95.45,2.31 (1.48-3.13)
GLU like neurons 17,685.0,0.205,78.0,135,20,14.81,2.35 (1.58-3.12),115,85.19,3.33 (3.00-3.65)
da like neurons 11,408.0,0.288,72.0,25,4,16.0,1.16 (0.64-1.68),21,84.0,5.48 (4.15-6.81)
GABA neurons expressing GABA receptors 13,357.0,0.128,31.0,237,0,0.0,NA,237,100.0,4.41 (4.18-4.64)
endothelial cells 9,450.0,0.361,75.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,676.0,0.154,39.0,110,5,4.55,1.31 (0.80-1.82),105,95.45,5.24 (4.83-5.66)
GABA like neurons 14,2402.0,0.252,56.0,455,15,3.3,1.92 (1.02-2.81),440,96.7,4.43 (4.24-4.61)
astrocytes 8,771.0,0.187,65.0,48,1,2.08,0.79 (NA-NA),47,97.92,4.53 (3.78-5.27)
oligodendrocyte progenitor cells 12,254.0,0.264,44.0,37,2,5.41,2.53 (2.34-2.73),35,94.59,4.63 (4.04-5.22)
oligodendrocytes 10,236.0,0.534,63.0,82,0,0.0,NA,82,100.0,4.99 (4.48-5.51)
connective tissue cells 21,250.0,0.424,74.0,117,4,3.42,2.26 (1.62-2.90),113,96.58,5.53 (5.14-5.91)
astrocytes 15,458.0,0.097,52.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,153.0,0.522,98.0,14,0,0.0,NA,14,100.0,4.67 (3.94-5.40)
da neurons 6,398.0,0.166,56.0,138,7,5.07,1.47 (0.77-2.18),131,94.93,5.04 (4.68-5.39)
astrocytes microglia 23,190.0,0.265,50.0,7,1,14.29,3.22 (NA-NA),6,85.71,5.16 (4.09-6.24)
astrocytes 4,255.0,0.124,13.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,546.0,0.249,79.0,252,17,6.75,2.15 (1.30-3.00),235,93.25,4.23 (3.98-4.48)
microglia 1,958.0,0.099,30.0,290,7,2.41,1.72 (1.01-2.42),283,97.59,3.88 (3.65-4.11)
oligodendrocytes 3,116.0,0.378,99.0,7,2,28.57,0.96 (0.79-1.12),5,71.43,5.55 (4.15-6.96)
oligodendrocytes 2,528.0,0.332,89.0,175,14,8.0,3.42 (2.64-4.20),161,92.0,4.47 (4.10-4.84)
