tipo_celular,module_size,HSP90B1_MM,HSP90B1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,395,0.502,100.0,97,11,11.34,4.97 (3.83-6.11),86,88.66,2.78 (2.40-3.16)
T cells 18,506,0.158,40.0,225,36,16.0,3.17 (2.62-3.71),189,84.0,3.71 (3.43-3.99)
astrocytes 5,423,0.373,98.0,80,4,5.0,4.76 (0.65-8.86),76,95.0,3.34 (2.88-3.80)
oligodendrocyte progenitor cells 7,628,0.244,82.0,164,15,9.15,4.00 (3.34-4.65),149,90.85,4.10 (3.74-4.46)
GABA neurons expressing GLU receptors 22,848,0.348,84.0,262,43,16.41,3.22 (2.78-3.66),219,83.59,4.37 (4.09-4.64)
GLU like neurons 17,685,0.238,83.0,135,42,31.11,2.68 (2.19-3.17),93,68.89,3.42 (3.04-3.79)
da like neurons 11,1220,0.199,57.0,410,54,13.17,3.62 (3.25-3.98),356,86.83,4.36 (4.16-4.57)
GABA neurons expressing GABA receptors 13,265,0.138,39.0,78,12,15.38,3.34 (2.82-3.87),66,84.62,4.61 (4.14-5.09)
endothelial cells 9,385,0.217,92.0,275,58,21.09,2.82 (2.35-3.29),217,78.91,4.39 (4.11-4.67)
oligodendrocytes 20,271,0.079,9.0,8,0,0.0,NA,8,100.0,3.49 (2.00-4.99)
GABA like neurons 14,2402,0.505,89.0,455,66,14.51,2.90 (2.47-3.33),389,85.49,4.65 (4.47-4.84)
astrocytes 8,577,0.283,98.0,83,6,7.23,4.69 (2.33-7.05),77,92.77,3.14 (2.69-3.58)
oligodendrocyte progenitor cells 12,1049,0.182,82.0,235,21,8.94,4.15 (3.42-4.88),214,91.06,3.79 (3.55-4.04)
oligodendrocytes 10,735,0.183,84.0,277,6,2.17,7.06 (5.90-8.22),271,97.83,3.80 (3.56-4.03)
connective tissue cells 21,301,0.437,65.0,158,21,13.29,3.47 (2.73-4.21),137,86.71,4.43 (4.02-4.85)
astrocytes 15,1768,0.195,99.0,105,41,39.05,2.40 (2.04-2.75),64,60.95,3.79 (3.33-4.25)
oligodendrocytes 16,75,0.175,40.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,518,0.077,13.0,122,49,40.16,3.00 (2.52-3.47),73,59.84,4.88 (4.38-5.38)
astrocytes microglia 23,327,0.329,50.0,120,42,35.0,3.24 (2.62-3.85),78,65.0,3.82 (3.50-4.14)
astrocytes 4,514,0.44,97.0,95,7,7.37,2.98 (0.55-5.41),88,92.63,3.40 (2.99-3.82)
oligodendrocytes 0,546,0.193,63.0,252,57,22.62,2.78 (2.32-3.25),195,77.38,4.55 (4.29-4.80)
microglia 1,406,0.316,70.0,278,11,3.96,4.65 (4.08-5.23),267,96.04,4.34 (4.06-4.63)
oligodendrocytes 3,457,0.108,45.0,345,50,14.49,3.55 (3.19-3.91),295,85.51,4.44 (4.20-4.67)
oligodendrocytes 2,528,0.274,79.0,175,30,17.14,4.16 (3.57-4.76),145,82.86,4.43 (4.02-4.85)
