tipo_celular,module_size,SERINC3_MM,SERINC3_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.262,76.0,140,0,0.0,NA,140,100.0,4.51 (4.08-4.93)
T cells 18,282,0.17,54.0,241,0,0.0,NA,241,100.0,4.05 (3.80-4.31)
astrocytes 5,228,0.228,73.0,266,4,1.5,2.01 (1.49-2.52),262,98.5,4.15 (3.94-4.36)
oligodendrocyte progenitor cells 7,296,0.319,89.0,251,3,1.2,2.74 (2.06-3.41),248,98.8,4.09 (3.85-4.33)
GABA neurons expressing GLU receptors 22,848,0.352,86.0,262,4,1.53,0.72 (0.27-1.17),258,98.47,4.23 (3.99-4.47)
GLU like neurons 17,380,0.198,70.0,39,0,0.0,NA,39,100.0,2.97 (2.41-3.52)
da like neurons 11,1220,0.394,92.0,410,4,0.98,2.19 (1.02-3.36),406,99.02,4.28 (4.09-4.46)
GABA neurons expressing GABA receptors 13,357,0.257,83.0,237,3,1.27,4.78 (4.78-4.78),234,98.73,4.40 (4.16-4.64)
endothelial cells 9,338,0.167,63.0,191,1,0.52,2.39 (NA-NA),190,99.48,3.89 (3.67-4.12)
oligodendrocytes 20,358,0.13,39.0,31,0,0.0,NA,31,100.0,2.36 (1.93-2.79)
GABA like neurons 14,2402,0.491,88.0,455,4,0.88,0.91 (0.59-1.22),451,99.12,4.38 (4.20-4.57)
astrocytes 8,520,0.317,89.0,288,2,0.69,0.92 (0.19-1.65),286,99.31,4.20 (4.00-4.40)
oligodendrocyte progenitor cells 12,3303,0.109,82.0,276,5,1.81,1.11 (0.64-1.59),271,98.19,3.60 (3.38-3.82)
oligodendrocytes 10,806,0.379,88.0,261,1,0.38,1.29 (NA-NA),260,99.62,4.38 (4.14-4.62)
connective tissue cells 21,85,0.214,15.0,3,0,0.0,NA,3,100.0,1.74 (1.73-1.75)
astrocytes 15,261,0.176,66.0,8,0,0.0,NA,8,100.0,3.68 (1.65-5.71)
oligodendrocytes 16,313,0.259,63.0,291,3,1.03,1.78 (0.57-2.98),288,98.97,4.36 (4.14-4.58)
da neurons 6,300,0.262,80.0,159,0,0.0,NA,159,100.0,4.36 (4.06-4.67)
astrocytes microglia 23,100,0.251,26.0,9,0,0.0,NA,9,100.0,3.95 (2.94-4.96)
astrocytes 4,157,0.166,39.0,178,3,1.69,2.02 (1.31-2.74),175,98.31,4.19 (3.92-4.47)
oligodendrocytes 0,613,0.205,91.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,214,0.238,69.0,227,4,1.76,2.37 (1.52-3.23),223,98.24,4.13 (3.90-4.37)
oligodendrocytes 3,457,0.162,69.0,345,1,0.29,1.29 (NA-NA),344,99.71,4.29 (4.08-4.49)
oligodendrocytes 2,528,0.336,89.0,175,1,0.57,1.29 (NA-NA),174,99.43,4.40 (4.06-4.75)
