tipo_celular,module_size,CFL1_MM,CFL1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,178,0.246,65.0,13,0,0.0,NA,13,100.0,1.68 (1.03-2.33)
T cells 18,506,0.379,84.0,225,30,13.33,3.59 (2.95-4.23),195,86.67,3.61 (3.34-3.89)
astrocytes 5,228,0.215,69.0,266,39,14.66,3.27 (2.58-3.96),227,85.34,4.27 (4.07-4.48)
oligodendrocyte progenitor cells 7,628,0.219,76.0,164,6,3.66,3.98 (2.87-5.09),158,96.34,4.09 (3.75-4.43)
GABA neurons expressing GLU receptors 22,848,0.337,83.0,262,39,14.89,4.74 (3.94-5.53),223,85.11,4.04 (3.79-4.28)
GLU like neurons 17,229,0.302,96.0,22,0,0.0,NA,22,100.0,2.52 (1.91-3.13)
da like neurons 11,1220,0.378,91.0,410,22,5.37,3.93 (3.08-4.77),388,94.63,4.26 (4.07-4.46)
GABA neurons expressing GABA receptors 13,417,0.125,22.0,213,24,11.27,1.94 (1.20-2.67),189,88.73,3.98 (3.74-4.22)
endothelial cells 9,916,0.354,79.0,302,10,3.31,3.21 (1.81-4.61),292,96.69,4.01 (3.78-4.24)
oligodendrocytes 20,938,0.223,86.0,169,17,10.06,3.23 (2.20-4.26),152,89.94,3.50 (3.28-3.73)
GABA like neurons 14,2402,0.511,89.0,455,24,5.27,2.44 (1.57-3.31),431,94.73,4.45 (4.27-4.64)
astrocytes 8,520,0.18,67.0,288,27,9.38,3.82 (3.02-4.61),261,90.62,4.21 (4.00-4.41)
oligodendrocyte progenitor cells 12,3303,0.127,93.0,276,11,3.99,1.78 (1.20-2.36),265,96.01,3.64 (3.42-3.86)
oligodendrocytes 10,735,0.282,99.0,277,2,0.72,5.98 (NA-NA),275,99.28,3.88 (3.64-4.13)
connective tissue cells 21,301,0.431,64.0,158,11,6.96,4.37 (3.36-5.39),147,93.04,4.24 (3.84-4.63)
astrocytes 15,1401,0.036,6.0,96,25,26.04,4.48 (3.68-5.29),71,73.96,3.30 (2.78-3.82)
oligodendrocytes 16,66,0.178,22.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,729,0.096,21.0,182,4,2.2,1.57 (1.57-1.57),178,97.8,3.66 (3.41-3.92)
astrocytes microglia 23,131,0.351,64.0,5,0,0.0,NA,5,100.0,0.46 (0.38-0.54)
astrocytes 4,157,0.162,38.0,178,28,15.73,3.04 (2.17-3.91),150,84.27,4.36 (4.11-4.62)
oligodendrocytes 0,546,0.214,71.0,252,23,9.13,2.32 (1.46-3.19),229,90.87,4.26 (4.02-4.51)
microglia 1,406,0.252,62.0,278,8,2.88,4.67 (4.01-5.32),270,97.12,4.35 (4.07-4.63)
oligodendrocytes 3,303,0.205,73.0,154,2,1.3,4.70 (NA-NA),152,98.7,3.61 (3.29-3.93)
oligodendrocytes 2,526,0.399,83.0,213,0,0.0,NA,213,100.0,3.98 (3.70-4.25)
