tipo_celular,module_size,PRPSAP1_MM,PRPSAP1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184.0,0.267,78.0,21,1,4.76,0.26 (NA-NA),20,95.24,2.41 (1.78-3.03)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,499.0,0.091,6.0,32,0,0.0,NA,32,100.0,5.02 (4.53-5.52)
oligodendrocyte progenitor cells 7,4285.0,0.121,29.0,353,26,7.37,2.10 (1.64-2.56),327,92.63,4.08 (3.89-4.26)
GABA neurons expressing GLU receptors 22,823.0,0.217,74.0,23,0,0.0,NA,23,100.0,2.40 (1.67-3.12)
GLU like neurons 17,1247.0,0.279,97.0,51,1,1.96,3.78 (NA-NA),50,98.04,3.62 (3.03-4.21)
da like neurons 11,853.0,0.129,50.0,133,10,7.52,1.86 (1.09-2.64),123,92.48,3.39 (3.07-3.71)
GABA neurons expressing GABA receptors 13,86.0,0.142,29.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72)
endothelial cells 9,586.0,0.131,30.0,62,0,0.0,NA,62,100.0,4.05 (3.60-4.49)
oligodendrocytes 20,221.0,0.174,39.0,12,0,0.0,NA,12,100.0,2.42 (0.83-4.00)
GABA like neurons 14,3052.0,0.234,99.0,125,2,1.6,3.67 (2.70-4.65),123,98.4,3.35 (3.02-3.68)
astrocytes 8,1266.0,0.042,7.0,66,5,7.58,2.23 (0.84-3.63),61,92.42,3.32 (2.89-3.76)
oligodendrocyte progenitor cells 12,254.0,0.031,6.0,37,0,0.0,NA,37,100.0,4.50 (3.92-5.08)
oligodendrocytes 10,806.0,0.039,4.0,261,8,3.07,3.07 (2.52-3.61),253,96.93,4.42 (4.17-4.67)
connective tissue cells 21,111.0,0.232,21.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,261.0,0.128,38.0,8,1,12.5,0.26 (NA-NA),7,87.5,4.25 (2.24-6.26)
oligodendrocytes 16,123.0,0.197,37.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,409.0,0.066,9.0,235,21,8.94,3.11 (2.60-3.62),214,91.06,4.10 (3.83-4.37)
astrocytes microglia 23,94.0,0.305,40.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,1807.0,0.146,54.0,104,14,13.46,1.53 (1.08-1.99),90,86.54,3.09 (2.80-3.38)
oligodendrocytes 0,2078.0,0.106,34.0,238,8,3.36,2.18 (1.43-2.94),230,96.64,3.70 (3.47-3.92)
microglia 1,1615.0,0.101,37.0,161,19,11.8,1.80 (1.25-2.35),142,88.2,3.52 (3.24-3.80)
oligodendrocytes 3,854.0,0.039,2.0,76,3,3.95,1.74 (-0.34-3.82),73,96.05,2.83 (2.50-3.16)
oligodendrocytes 2,1630.0,0.171,95.0,154,0,0.0,NA,154,100.0,3.24 (2.98-3.51)
