tipo_celular,module_size,NNT_MM,NNT_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,185,0.133,12.0,17,0,0.0,NA,17,100.0,1.90 (1.29-2.52)
T cells 18,727,0.111,26.0,49,1,2.04,2.53 (NA-NA),48,97.96,2.43 (2.02-2.83)
astrocytes 5,1141,0.157,82.0,166,7,4.22,1.00 (0.43-1.57),159,95.78,3.52 (3.27-3.76)
oligodendrocyte progenitor cells 7,4285,0.156,81.0,353,22,6.23,1.46 (1.04-1.88),331,93.77,4.10 (3.93-4.28)
GABA neurons expressing GLU receptors 22,848,0.203,47.0,262,14,5.34,2.44 (1.68-3.20),248,94.66,4.30 (4.05-4.55)
GLU like neurons 17,1316,0.154,75.0,101,2,1.98,2.32 (1.92-2.72),99,98.02,3.07 (2.71-3.43)
da like neurons 11,137,0.331,68.0,2,1,50.0,5.16 (NA-NA),1,50.0,NA
GABA neurons expressing GABA receptors 13,86,0.178,63.0,4,0,0.0,NA,4,100.0,3.07 (1.41-4.72)
endothelial cells 9,1653,0.089,19.0,297,1,0.34,2.53 (NA-NA),296,99.66,3.68 (3.47-3.88)
oligodendrocytes 20,938,0.049,12.0,169,20,11.83,2.83 (2.32-3.34),149,88.17,3.59 (3.35-3.83)
GABA like neurons 14,3052,0.304,100.0,125,0,0.0,NA,125,100.0,3.35 (3.03-3.68)
astrocytes 8,727,0.124,61.0,29,0,0.0,NA,29,100.0,2.37 (1.87-2.86)
oligodendrocyte progenitor cells 12,3303,0.068,36.0,276,18,6.52,2.16 (1.70-2.61),258,93.48,3.67 (3.45-3.90)
oligodendrocytes 10,2107,0.194,67.0,358,13,3.63,0.83 (0.49-1.17),345,96.37,4.02 (3.83-4.20)
connective tissue cells 21,116,0.224,14.0,2,0,0.0,NA,2,100.0,0.40 (0.12-0.68)
astrocytes 15,443,0.139,39.0,9,1,11.11,0.95 (NA-NA),8,88.89,3.60 (2.32-4.88)
oligodendrocytes 16,69,0.167,28.0,0,0,0.0,NA,0,0.0,NA
da neurons 6,448,0.082,26.0,43,0,0.0,NA,43,100.0,3.28 (2.76-3.80)
astrocytes microglia 23,110,0.348,74.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,752,0.151,46.0,96,0,0.0,NA,96,100.0,3.29 (2.96-3.62)
oligodendrocytes 0,2078,0.111,43.0,238,7,2.94,1.95 (1.17-2.73),231,97.06,3.70 (3.47-3.92)
microglia 1,1615,0.125,71.0,161,14,8.7,0.90 (0.55-1.25),147,91.3,3.55 (3.30-3.81)
oligodendrocytes 3,1003,0.078,30.0,111,0,0.0,NA,111,100.0,3.30 (2.96-3.64)
oligodendrocytes 2,804,0.129,22.0,84,4,4.76,1.13 (0.16-2.09),80,95.24,2.79 (2.45-3.13)
