tipo_celular,module_size,MT-CYB_MM,MT-CYB_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352,0.271,83.0,73,3,4.11,4.91 (NA-NA),70,95.89,3.54 (3.19-3.89)
T cells 18,506,0.14,30.0,225,19,8.44,3.41 (2.78-4.05),206,91.56,3.63 (3.36-3.90)
astrocytes 5,228,0.225,72.0,266,35,13.16,2.80 (2.31-3.30),231,86.84,4.37 (4.16-4.59)
oligodendrocyte progenitor cells 7,296,0.238,73.0,251,8,3.19,2.69 (2.34-3.04),243,96.81,4.12 (3.87-4.36)
GABA neurons expressing GLU receptors 22,192,0.794,97.0,55,21,38.18,3.76 (3.31-4.20),34,61.82,4.20 (3.57-4.83)
GLU like neurons 17,637,0.247,75.0,91,8,8.79,0.47 (0.28-0.65),83,91.21,5.01 (4.56-5.46)
da like neurons 11,1220,0.355,89.0,410,33,8.05,3.42 (2.98-3.86),377,91.95,4.34 (4.14-4.54)
GABA neurons expressing GABA receptors 13,238,0.15,41.0,36,0,0.0,NA,36,100.0,3.88 (3.35-4.40)
endothelial cells 9,338,0.314,87.0,191,4,2.09,2.55 (2.45-2.65),187,97.91,3.92 (3.69-4.15)
oligodendrocytes 20,298,0.133,47.0,6,0,0.0,NA,6,100.0,0.26 (NA-NA)
GABA like neurons 14,1300,-0.007,0.0,306,4,1.31,1.67 (0.54-2.81),302,98.69,5.16 (4.90-5.42)
astrocytes 8,47,0.731,94.0,76,8,10.53,2.81 (2.26-3.36),68,89.47,4.17 (3.85-4.48)
oligodendrocyte progenitor cells 12,708,0.116,52.0,25,1,4.0,0.21 (NA-NA),24,96.0,3.00 (2.02-3.99)
oligodendrocytes 10,806,0.459,94.0,261,24,9.2,3.40 (2.88-3.92),237,90.8,4.49 (4.23-4.75)
connective tissue cells 21,147,0.119,5.0,4,0,0.0,NA,4,100.0,5.34 (4.88-5.80)
astrocytes 15,418,0.353,79.0,54,22,40.74,3.55 (3.03-4.06),32,59.26,3.78 (3.12-4.44)
oligodendrocytes 16,149,0.287,73.0,70,1,1.43,NA,69,98.57,5.65 (5.18-6.12)
da neurons 6,553,0.281,95.0,124,3,2.42,1.26 (-0.42-2.94),121,97.58,4.25 (3.86-4.64)
astrocytes microglia 23,46,0.759,89.0,73,29,39.73,3.39 (2.98-3.80),44,60.27,4.57 (4.19-4.94)
astrocytes 4,157,0.534,99.0,178,35,19.66,2.80 (2.31-3.30),143,80.34,4.59 (4.32-4.86)
oligodendrocytes 0,116,0.614,99.0,169,6,3.55,2.53 (2.44-2.62),163,96.45,4.37 (4.06-4.67)
microglia 1,214,0.271,75.0,227,29,12.78,3.37 (2.94-3.79),198,87.22,4.23 (3.97-4.50)
oligodendrocytes 3,32,0.755,81.0,81,30,37.04,3.33 (2.92-3.74),51,62.96,4.51 (4.15-4.86)
oligodendrocytes 2,99,0.582,98.0,116,5,4.31,2.52 (2.42-2.62),111,95.69,4.04 (3.73-4.35)
