tipo_celular,module_size,C1orf43_MM,C1orf43_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,184,0.385,99.0,21,5,23.81,0.42 (0.32-0.52),16,76.19,2.93 (2.39-3.46)
T cells 18,393,0.149,49.0,59,1,1.69,3.31 (NA-NA),58,98.31,3.10 (2.59-3.61)
astrocytes 5,932,0.073,5.0,80,1,1.25,5.10 (NA-NA),79,98.75,3.65 (3.24-4.06)
oligodendrocyte progenitor cells 7,4285,0.096,8.0,353,13,3.68,1.47 (0.80-2.13),340,96.32,4.01 (3.83-4.19)
GABA neurons expressing GLU receptors 22,487,0.272,69.0,73,0,0.0,NA,73,100.0,2.75 (2.37-3.14)
GLU like neurons 17,685,0.108,34.0,135,1,0.74,2.24 (NA-NA),134,99.26,3.20 (2.89-3.51)
da like neurons 11,1220,0.134,31.0,410,6,1.46,2.18 (1.88-2.49),404,98.54,4.29 (4.10-4.48)
GABA neurons expressing GABA receptors 13,101,0.205,83.0,3,0,0.0,NA,3,100.0,1.59 (0.34-2.85)
endothelial cells 9,916,0.123,22.0,302,3,0.99,1.42 (0.21-2.63),299,99.01,4.02 (3.79-4.24)
oligodendrocytes 20,938,0.097,35.0,169,3,1.78,1.42 (0.21-2.63),166,98.22,3.53 (3.31-3.74)
GABA like neurons 14,2402,0.219,47.0,455,9,1.98,1.12 (0.48-1.75),446,98.02,4.43 (4.25-4.61)
astrocytes 8,1266,0.042,8.0,66,9,13.64,1.51 (0.39-2.64),57,86.36,3.55 (3.15-3.94)
oligodendrocyte progenitor cells 12,1049,0.121,65.0,235,0,0.0,NA,235,100.0,3.82 (3.59-4.06)
oligodendrocytes 10,735,0.106,56.0,277,0,0.0,NA,277,100.0,3.89 (3.65-4.14)
connective tissue cells 21,136,0.349,75.0,3,0,0.0,NA,3,100.0,0.26 (NA-NA)
astrocytes 15,458,0.071,34.0,36,0,0.0,NA,36,100.0,3.77 (2.68-4.85)
oligodendrocytes 16,123,0.236,68.0,4,0,0.0,NA,4,100.0,2.02 (0.43-3.61)
da neurons 6,729,0.085,14.0,182,0,0.0,NA,182,100.0,3.64 (3.38-3.89)
astrocytes microglia 23,125,0.282,33.0,0,0,0.0,NA,0,0.0,NA
astrocytes 4,787,0.118,6.0,65,0,0.0,NA,65,100.0,2.96 (2.57-3.36)
oligodendrocytes 0,613,0.135,43.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,406,0.062,1.0,278,1,0.36,6.67 (NA-NA),277,99.64,4.35 (4.08-4.62)
oligodendrocytes 3,457,0.055,11.0,345,5,1.45,2.26 (1.93-2.59),340,98.55,4.31 (4.11-4.52)
oligodendrocytes 2,528,0.184,39.0,175,4,2.29,2.59 (1.98-3.20),171,97.71,4.44 (4.09-4.80)
