tipo_celular,module_size,FDFT1_MM,FDFT1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,305,0.157,40.0,15,0,0.0,NA,15,100.0,5.79 (5.09-6.49)
T cells 18,610,0.135,37.0,98,11,11.22,0.88 (0.42-1.33),87,88.78,3.44 (3.15-3.73)
astrocytes 5,932,0.11,51.0,80,2,2.5,3.48 (3.47-3.49),78,97.5,3.68 (3.26-4.10)
oligodendrocyte progenitor cells 7,4285,0.13,41.0,353,18,5.1,1.51 (0.86-2.16),335,94.9,4.06 (3.88-4.24)
GABA neurons expressing GLU receptors 22,487,0.214,51.0,73,1,1.37,1.32 (NA-NA),72,98.63,2.78 (2.39-3.17)
GLU like neurons 17,637,0.213,66.0,91,8,8.79,0.65 (0.26-1.05),83,91.21,5.06 (4.62-5.51)
da like neurons 11,197,0.092,8.0,0,0,0.0,NA,0,0.0,NA
GABA neurons expressing GABA receptors 13,77,0.08,3.0,8,1,12.5,0.95 (NA-NA),7,87.5,3.60 (2.98-4.21)
endothelial cells 9,450,0.115,17.0,74,0,0.0,NA,74,100.0,5.46 (4.91-6.02)
oligodendrocytes 20,295,0.109,18.0,28,0,0.0,NA,28,100.0,2.19 (1.73-2.65)
GABA like neurons 14,2402,0.284,63.0,455,18,3.96,1.84 (1.16-2.53),437,96.04,4.49 (4.31-4.67)
astrocytes 8,771,0.075,28.0,48,0,0.0,NA,48,100.0,4.43 (3.68-5.18)
oligodendrocyte progenitor cells 12,708,0.323,87.0,32,6,18.75,0.64 (0.20-1.08),26,81.25,3.96 (3.16-4.75)
oligodendrocytes 10,735,0.072,31.0,277,3,1.08,3.57 (3.28-3.86),274,98.92,3.90 (3.65-4.14)
connective tissue cells 21,69,0.368,80.0,1,0,0.0,NA,1,100.0,NA
astrocytes 15,1768,0.067,30.0,105,14,13.33,2.14 (1.47-2.81),91,86.67,3.39 (3.03-3.75)
oligodendrocytes 16,151,0.168,33.0,7,0,0.0,NA,7,100.0,1.31 (0.28-2.35)
da neurons 6,409,0.15,62.0,235,4,1.7,2.22 (0.70-3.75),231,98.3,4.02 (3.77-4.27)
astrocytes microglia 23,140,0.24,8.0,1,0,0.0,NA,1,100.0,NA
astrocytes 4,255,0.151,32.0,12,0,0.0,NA,12,100.0,4.62 (3.76-5.48)
oligodendrocytes 0,613,0.14,48.0,127,0,0.0,NA,127,100.0,3.05 (2.64-3.46)
microglia 1,127,0.085,2.0,24,0,0.0,NA,24,100.0,5.17 (4.46-5.87)
oligodendrocytes 3,681,0.095,50.0,87,7,8.05,0.95 (0.56-1.34),80,91.95,2.74 (2.47-3.01)
oligodendrocytes 2,528,0.129,11.0,175,6,3.43,3.35 (2.54-4.16),169,96.57,4.43 (4.07-4.80)
