tipo_celular,module_size,INSR_MM,INSR_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,352.0,0.333,95.0,73,12,16.44,4.10 (3.86-4.35),61,83.56,3.43 (3.01-3.85)
T cells 18,,,,0,0,0.0,NA,0,0.0,NA
astrocytes 5,932.0,0.167,97.0,80,15,18.75,5.80 (4.69-6.90),65,81.25,3.38 (3.00-3.77)
oligodendrocyte progenitor cells 7,666.0,0.089,7.0,127,41,32.28,3.72 (3.21-4.24),86,67.72,3.91 (3.46-4.37)
GABA neurons expressing GLU receptors 22,192.0,0.123,45.0,55,13,23.64,3.02 (2.50-3.54),42,76.36,4.40 (3.91-4.89)
GLU like neurons 17,1247.0,0.169,72.0,51,3,5.88,2.62 (1.48-3.76),48,94.12,3.70 (3.09-4.31)
da like neurons 11,853.0,0.221,88.0,133,42,31.58,2.11 (1.77-2.45),91,68.42,3.93 (3.56-4.31)
GABA neurons expressing GABA receptors 13,77.0,0.263,94.0,2,0,0.0,NA,2,100.0,NA
endothelial cells 9,658.0,0.192,46.0,120,64,53.33,4.18 (3.80-4.56),56,46.67,5.18 (4.69-5.66)
oligodendrocytes 20,330.0,0.113,24.0,36,17,47.22,2.01 (1.77-2.25),19,52.78,1.83 (1.17-2.50)
GABA like neurons 14,1300.0,0.368,99.0,306,79,25.82,4.00 (3.51-4.48),227,74.18,5.60 (5.32-5.88)
astrocytes 8,1266.0,0.108,71.0,66,30,45.45,2.52 (2.02-3.03),36,54.55,4.01 (3.45-4.57)
oligodendrocyte progenitor cells 12,708.0,0.121,54.0,25,2,8.0,1.22 (-0.77-3.20),23,92.0,3.04 (2.01-4.08)
oligodendrocytes 10,130.0,0.594,91.0,0,0,0.0,NA,0,0.0,NA
connective tissue cells 21,183.0,0.319,66.0,32,6,18.75,5.60 (3.58-7.62),26,81.25,5.00 (4.36-5.65)
astrocytes 15,367.0,0.159,62.0,17,1,5.88,2.91 (NA-NA),16,94.12,2.03 (1.01-3.05)
oligodendrocytes 16,153.0,0.179,10.0,14,3,21.43,5.00 (2.64-7.36),11,78.57,4.61 (3.81-5.41)
da neurons 6,398.0,0.162,55.0,138,52,37.68,3.63 (3.16-4.10),86,62.32,5.63 (5.19-6.07)
astrocytes microglia 23,255.0,0.18,6.0,57,11,19.3,3.25 (2.77-3.72),46,80.7,2.51 (2.08-2.93)
astrocytes 4,251.0,0.135,27.0,34,5,14.71,3.62 (2.61-4.63),29,85.29,5.66 (5.04-6.27)
oligodendrocytes 0,613.0,0.089,4.0,127,15,11.81,2.07 (1.68-2.47),112,88.19,3.26 (2.78-3.74)
microglia 1,1615.0,0.133,79.0,161,62,38.51,2.23 (1.95-2.52),99,61.49,4.19 (3.88-4.50)
oligodendrocytes 3,357.0,0.172,86.0,127,0,0.0,NA,127,100.0,3.12 (2.79-3.45)
oligodendrocytes 2,407.0,0.246,98.0,122,68,55.74,2.82 (2.25-3.39),54,44.26,3.99 (3.57-4.41)
