tipo_celular,module_size,ATP6V1E1_MM,ATP6V1E1_MM_percentile,total_annotations,known_annotations,known_percentage,IC known(CI95%),new_annotations,new_percentage,IC new(CI95%)
microglia 19,172,0.215,64.0,140,8,5.71,2.95 (1.97-3.92),132,94.29,4.62 (4.18-5.06)
T cells 18,282,0.247,78.0,241,29,12.03,4.46 (3.85-5.07),212,87.97,4.00 (3.72-4.27)
astrocytes 5,228,0.197,61.0,266,74,27.82,3.48 (3.06-3.89),192,72.18,4.40 (4.17-4.62)
oligodendrocyte progenitor cells 7,296,0.265,82.0,251,18,7.17,3.62 (2.91-4.34),233,92.83,4.10 (3.85-4.35)
GABA neurons expressing GLU receptors 22,848,0.289,73.0,262,28,10.69,3.57 (2.79-4.36),234,89.31,4.24 (3.98-4.50)
GLU like neurons 17,1316,0.098,26.0,101,10,9.9,5.24 (4.32-6.17),91,90.1,2.87 (2.53-3.22)
da like neurons 11,1220,0.304,82.0,410,56,13.66,3.71 (3.22-4.21),354,86.34,4.34 (4.14-4.54)
GABA neurons expressing GABA receptors 13,357,0.13,33.0,237,25,10.55,5.24 (4.59-5.89),212,89.45,4.33 (4.08-4.57)
endothelial cells 9,338,0.208,73.0,191,40,20.94,4.26 (3.76-4.77),151,79.06,3.78 (3.54-4.03)
oligodendrocytes 20,279,0.103,13.0,16,0,0.0,NA,16,100.0,2.38 (1.63-3.13)
GABA like neurons 14,2402,0.524,90.0,455,53,11.65,3.39 (2.77-4.00),402,88.35,4.48 (4.29-4.67)
astrocytes 8,520,0.295,87.0,288,54,18.75,3.89 (3.38-4.40),234,81.25,4.24 (4.02-4.45)
oligodendrocyte progenitor cells 12,3303,0.072,42.0,276,19,6.88,2.36 (1.65-3.07),257,93.12,3.65 (3.43-3.87)
oligodendrocytes 10,806,0.3,79.0,261,41,15.71,3.84 (3.34-4.34),220,84.29,4.46 (4.19-4.73)
connective tissue cells 21,106,0.294,49.0,9,2,22.22,3.37 (-2.73-9.48),7,77.78,4.02 (1.01-7.03)
astrocytes 15,367,0.172,70.0,17,0,0.0,NA,17,100.0,2.08 (1.12-3.04)
oligodendrocytes 16,313,0.277,69.0,291,59,20.27,3.85 (3.45-4.25),232,79.73,4.47 (4.20-4.73)
da neurons 6,409,0.305,95.0,235,10,4.26,4.14 (2.89-5.39),225,95.74,3.97 (3.71-4.22)
astrocytes microglia 23,70,0.301,43.0,76,5,6.58,5.16 (NA-NA),71,93.42,4.18 (3.65-4.70)
astrocytes 4,157,0.175,49.0,178,58,32.58,3.61 (3.09-4.12),120,67.42,4.44 (4.14-4.73)
oligodendrocytes 0,116,0.132,36.0,169,25,14.79,4.16 (3.40-4.92),144,85.21,4.30 (3.97-4.62)
microglia 1,214,0.224,64.0,227,44,19.38,3.96 (3.51-4.42),183,80.62,4.12 (3.85-4.39)
oligodendrocytes 3,457,0.192,79.0,345,46,13.33,4.14 (3.62-4.67),299,86.67,4.29 (4.07-4.52)
oligodendrocytes 2,528,0.263,77.0,175,21,12.0,3.58 (2.99-4.16),154,88.0,4.52 (4.13-4.91)
